,Team0,Rank0,Team1,Rank1,Team2,Rank2,Team3,Rank3,Team4,Rank4,Team5,Rank5,Team6,Rank6,Team7,Rank7,Team8,Rank8,Team9,Rank9,Team10,Rank10,Team11,Rank11,Team12,Rank12,Team13,Rank13,Team14,Rank14,Team15,Rank15
2015,MTL,2,TBL,4,NYR,3,WSH,2,STL,1,NSH,1,ANA,3,VAN,1,OTT,1,DET,1,PIT,1,NYI,1,MIN,2,CHI,4,WPG,1,CGY,2
2016,FLA,1,TBL,3,WSH,2,PIT,4,DAL,2,STL,3,ANA,1,LAK,1,NYI,2,DET,1,PHI,1,NYR,1,MIN,1,CHI,1,NSH,2,SJS,4
2017,MTL,1,OTT,3,WSH,2,PIT,4,CHI,1,MIN,1,ANA,3,EDM,2,NYR,2,BOS,1,TOR,1,CBJ,1,NSH,4,STL,2,CGY,1,SJS,1
2018,TBL,3,BOS,2,WSH,4,PIT,2,NSH,2,WPG,3,VGK,4,ANA,1,NJD,1,TOR,1,CBJ,1,PHI,1,COL,1,MIN,1,LAK,1,SJS,2
2019,TBL,1,BOS,4,WSH,1,NYI,2,NSH,1,WPG,1,CGY,1,SJS,3,CBJ,2,TOR,1,CAR,3,PIT,1,DAL,2,STL,4,COL,2,VGK,1
2020,PHI,2,TBL,4,WSH,1,BOS,2,VGK,3,COL,2,DAL,4,STL,1,MTL,2,CBJ,2,NYI,4,CAR,2,CHI,2,ARI,2,CGY,2,VAN,3
2021,PIT,1,WSH,1,CAR,2,FLA,1,COL,2,VGK,3,TOR,1,EDM,1,NYI,3,BOS,2,NSH,1,TBL,4,STL,1,MIN,1,MTL,4,WPG,2
2022,FLA,2,TOR,1,CAR,2,NYR,3,COL,4,MIN,1,CGY,2,EDM,3,WSH,1,TBL,4,BOS,1,PIT,1,NSH,1,STL,2,DAL,1,LAK,1
2023,BOS,1,TOR,2,CAR,3,NJD,2,COL,1,DAL,3,VGK,4,EDM,2,FLA,4,TBL,1,NYI,1,NYR,1,SEA,2,MIN,1,WPG,1,LAK,1
2024,FLA,4,BOS,2,NYR,3,CAR,2,DAL,3,WPG,1,VAN,2,EDM,4,TBL,1,TOR,1,WSH,1,NYI,1,VGK,1,COL,2,NSH,1,LAK,1
2025,TOR,2,TBL,1,WSH,2,CAR,3,WPG,2,DAL,3,VGK,2,LAK,1,OTT,1,FLA,4,MTL,1,NJD,1,STL,1,COL,1,MIN,1,EDM,4
