,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,2.7560975609756095,2.4390243902439024,0.573170731707317,0.3170731707317073,0.10975609756097561,27,20,6,3,1,0,2,3,1,0,1,3,1,2
OTT,2.5853658536585367,2.6097560975609757,0.5365853658536586,0.34146341463414637,0.12195121951219512,21,27,4,4,2,0,1,0,2,1,0,1,0,1
WSH,3.207317073170732,2.2195121951219514,0.6707317073170732,0.23170731707317074,0.0975609756097561,31,21,8,2,0,2,2,0,1,2,2,1,2,1
PIT,3.4390243902439024,2.8536585365853657,0.6097560975609756,0.25609756097560976,0.13414634146341464,30,35,4,4,2,4,1,2,3,1,1,2,4,4
CHI,2.975609756097561,2.597560975609756,0.6097560975609756,0.2804878048780488,0.10975609756097561,26,35,3,3,4,1,4,3,4,1,1,4,3,0
MIN,3.2439024390243905,2.5365853658536586,0.5975609756097561,0.3048780487804878,0.0975609756097561,31,28,5,3,2,1,2,2,1,0,0,0,0,1
ANA,2.7195121951219514,2.4390243902439024,0.5609756097560976,0.2804878048780488,0.15853658536585366,37,22,8,0,2,1,3,2,1,0,1,0,2,1
EDM,3.0121951219512195,2.5853658536585367,0.573170731707317,0.3170731707317073,0.10975609756097561,38,26,8,2,0,0,0,0,0,0,0,0,0,0
NYR,3.1219512195121952,2.682926829268293,0.5853658536585366,0.34146341463414637,0.07317073170731707,25,31,3,4,3,1,3,4,2,3,1,0,1,2
BOS,2.8536585365853657,2.5853658536585367,0.5365853658536586,0.3780487804878049,0.08536585365853659,27,20,6,3,1,0,0,2,4,1,4,2,2,1
TOR,3.0609756097560976,2.951219512195122,0.4878048780487805,0.32926829268292684,0.18292682926829268,30,30,6,4,0,0,0,0,1,0,0,0,0,0
CBJ,3.0365853658536586,2.3780487804878048,0.6097560975609756,0.2926829268292683,0.0975609756097561,19,26,3,5,2,0,0,1,0,0,0,0,1,0
NSH,2.926829268292683,2.731707317073171,0.5,0.35365853658536583,0.14634146341463414,28,22,5,4,1,2,1,0,0,2,2,1,0,1
STL,2.8658536585365852,2.658536585365854,0.5609756097560976,0.35365853658536583,0.08536585365853659,34,23,7,1,2,3,1,1,1,2,0,0,1,0
CGY,2.7560975609756095,2.6951219512195124,0.5487804878048781,0.4024390243902439,0.04878048780487805,25,28,4,6,0,0,2,0,0,0,0,0,1,1
SJS,2.6951219512195124,2.451219512195122,0.5609756097560976,0.35365853658536583,0.08536585365853659,25,35,4,6,0,4,0,1,2,1,3,3,1,2
