,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
HFD,3.5875,3.375,0.5375,0.375,0.0,39,36,6,4,0,2,0,0,0,0,0,1,0,0
MTL,3.4625,3.0125,0.5125,0.3625,0.0,46,21,9,0,1,4,2,3,1,1,1,2,3,3
PHI,3.875,3.0625,0.575,0.325,0.0,27,32,4,4,2,1,4,1,1,1,2,4,2,3
WSH,3.5625,3.475,0.475,0.4,0.0,39,26,8,1,1,2,1,2,1,0,0,0,0,0
STL,3.5125,3.6625,0.4,0.4125,0.0,45,38,5,4,1,3,1,2,1,2,2,1,0,0
DET,3.25,3.425,0.425,0.45,0.0,23,24,3,6,1,0,1,1,0,0,0,0,0,2
EDM,4.65,3.55,0.625,0.3,0.0,41,41,5,4,1,2,4,4,4,1,2,1,0,0
CGY,3.975,3.6125,0.575,0.3875,0.0,38,41,5,4,1,4,1,2,2,1,3,0,0,0
QUE,3.3375,3.45,0.3875,0.4875,0.0,40,34,5,4,1,1,3,2,1,3,1,0,0,0
BOS,3.7625,3.45,0.4875,0.425,0.0,41,35,6,4,0,1,1,1,3,2,1,2,2,3
NYR,3.8375,4.0375,0.425,0.475,0.0,32,51,3,7,0,3,1,1,2,2,3,2,4,1
NYI,3.4875,3.5125,0.4375,0.4125,0.0,32,36,4,4,2,1,2,4,4,4,4,4,2,1
TOR,3.575,3.9875,0.4,0.525,0.0,36,45,4,6,0,2,0,0,1,0,1,1,2,3
CHI,3.625,3.875,0.3625,0.4625,0.0,36,40,2,5,3,1,3,1,3,3,1,2,1,1
LAK,3.975,4.2625,0.3875,0.5125,0.0,41,48,4,6,0,0,1,0,0,2,1,1,1,1
WIN,3.4875,3.3875,0.5,0.4,0.0,37,34,4,5,1,1,2,1,1,1,0,0,0,0
