,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
TBL,2.9878048780487805,2.341463414634146,0.5609756097560976,0.2682926829268293,0.07317073170731707,30,26,5,4,1,2,0,0,0,0,0,0,1,0
BOS,2.548780487804878,2.292682926829268,0.5,0.23170731707317074,0.08536585365853659,25,25,6,3,1,1,1,0,0,2,1,0,1,1
PHI,2.792682926829268,2.268292682926829,0.4878048780487805,0.25609756097560976,0.07317073170731707,23,22,4,4,2,2,1,1,3,1,1,4,2,3
TOR,2.951219512195122,2.4878048780487805,0.5487804878048781,0.2926829268292683,0.036585365853658534,34,22,7,2,1,1,3,2,2,3,0,0,1,1
DET,3.1097560975609757,2.3048780487804876,0.5853658536585366,0.25609756097560976,0.024390243902439025,30,28,6,3,1,1,4,1,2,2,4,4,3,4
SJS,2.6707317073170733,2.231707317073171,0.524390243902439,0.25609756097560976,0.07317073170731707,32,22,8,2,0,0,2,1,2,1,1,0,0,2
VAN,2.8658536585365852,2.3658536585365852,0.524390243902439,0.2926829268292683,0.06097560975609756,30,21,6,2,2,2,1,1,0,0,0,0,1,2
COL,2.8780487804878048,2.4146341463414633,0.4878048780487805,0.2682926829268293,0.08536585365853659,18,28,2,5,3,1,3,4,3,3,1,3,4,0
NYI,2.8902439024390243,2.5609756097560976,0.4634146341463415,0.35365853658536583,0.04878048780487805,35,23,6,3,1,1,1,0,0,0,0,0,0,0
MTL,2.5365853658536586,2.341463414634146,0.5,0.36585365853658536,0.04878048780487805,22,27,4,4,2,0,2,0,0,0,2,1,1,0
NJD,2.597560975609756,2.0,0.524390243902439,0.3048780487804878,0.024390243902439025,33,17,6,3,1,4,1,4,4,1,1,2,0,4
OTT,3.1951219512195124,2.3048780487804876,0.524390243902439,0.2804878048780488,0.07317073170731707,27,29,5,3,2,3,2,1,1,1,2,1,0,0
NSH,2.6341463414634148,2.6463414634146343,0.4634146341463415,0.35365853658536583,0.04878048780487805,27,25,5,3,2,0,0,0,0,0,0,0,0,0
STL,2.3292682926829267,2.4146341463414633,0.47560975609756095,0.36585365853658536,0.024390243902439025,24,20,6,3,1,1,2,3,1,2,2,1,2,1
CGY,2.4390243902439024,2.1463414634146343,0.5121951219512195,0.36585365853658536,0.036585365853658534,21,17,6,4,0,0,0,0,0,0,0,0,1,1
DAL,2.3658536585365852,2.1341463414634148,0.5,0.3170731707317073,0.024390243902439025,28,21,5,2,3,2,0,2,4,4,3,1,0,1
