,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
TOR,3.268292682926829,2.817073170731707,0.6341463414634146,0.3170731707317073,0.04878048780487805,32,15,9,1,0,1,2,1,1,1,1,1,1,0
TBL,3.5853658536585367,2.6707317073170733,0.573170731707317,0.32926829268292684,0.0975609756097561,35,27,5,2,3,1,1,4,4,4,1,3,0,3
WSH,3.5121951219512195,2.8292682926829267,0.6219512195121951,0.2682926829268293,0.10975609756097561,27,44,4,6,0,1,0,1,1,1,1,4,2,2
CAR,3.2439024390243905,2.841463414634146,0.573170731707317,0.36585365853658536,0.06097560975609756,34,41,3,6,1,2,3,2,2,2,3,0,0,0
WPG,3.3780487804878048,2.3292682926829267,0.6829268292682927,0.2682926829268293,0.04878048780487805,28,19,7,3,0,1,1,0,2,1,1,3,0,0
DAL,3.3780487804878048,2.731707317073171,0.6097560975609756,0.3170731707317073,0.07317073170731707,31,37,3,5,2,3,3,1,0,4,2,0,0,2
VGK,3.3536585365853657,2.6707317073170733,0.6097560975609756,0.2682926829268293,0.12195121951219512,28,25,6,2,2,1,4,0,3,3,1,4,0,0
LAK,3.048780487804878,2.5121951219512195,0.5853658536585366,0.3048780487804878,0.10975609756097561,43,21,8,2,0,1,1,1,0,0,0,1,0,1
OTT,2.9634146341463414,2.8536585365853657,0.5487804878048781,0.36585365853658536,0.08536585365853659,32,26,6,2,2,0,0,0,0,0,0,0,3,0
FLA,3.073170731707317,2.7195121951219514,0.573170731707317,0.3780487804878049,0.04878048780487805,21,29,3,6,1,4,4,2,1,1,0,0,0,1
MTL,2.9878048780487805,3.231707317073171,0.4878048780487805,0.3780487804878049,0.13414634146341464,29,21,7,1,2,0,0,0,4,2,0,0,1,0
NJD,2.951219512195122,2.707317073170732,0.5121951219512195,0.4024390243902439,0.08536585365853659,28,32,5,5,0,0,2,0,0,0,0,1,0,0
STL,3.097560975609756,2.841463414634146,0.5365853658536586,0.36585365853658536,0.0975609756097561,36,25,7,2,1,0,0,2,1,1,4,0,2,3
COL,3.3780487804878048,2.8536585365853657,0.5975609756097561,0.35365853658536583,0.04878048780487805,33,28,5,4,1,2,1,4,2,2,2,1,0,0
MIN,2.7804878048780486,2.9146341463414633,0.5487804878048781,0.36585365853658536,0.08536585365853659,32,35,5,3,2,0,1,1,1,1,0,1,1,1
EDM,3.158536585365854,2.8780487804878048,0.5853658536585366,0.35365853658536583,0.06097560975609756,26,23,7,3,0,4,2,3,1,1,0,0,2,0
