,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,2.8780487804878048,2.451219512195122,0.524390243902439,0.2926829268292683,0.10975609756097561,27,27,4,3,3,0,0,2,1,0,1,1,2,1
PHI,2.8536585365853657,2.341463414634146,0.5121951219512195,0.32926829268292684,0.036585365853658534,16,27,2,7,1,1,3,1,1,4,2,3,0,0
CAR,2.6463414634146343,2.6463414634146343,0.4268292682926829,0.3170731707317073,0.06097560975609756,25,18,5,3,2,1,0,1,0,0,0,0,0,0
TOR,3.0365853658536586,2.524390243902439,0.524390243902439,0.3048780487804878,0.04878048780487805,42,27,6,3,1,2,2,3,0,0,1,1,3,3
DET,3.0609756097560976,2.2804878048780486,0.6219512195121951,0.2073170731707317,0.04878048780487805,26,33,1,3,6,1,2,2,4,4,3,4,1,1
COL,2.5853658536585367,2.0609756097560976,0.5487804878048781,0.34146341463414637,0.012195121951219513,28,20,5,4,1,4,3,3,1,3,4,0,0,0
SJS,3.024390243902439,2.426829268292683,0.5365853658536586,0.32926829268292684,0.036585365853658534,39,24,7,3,0,1,2,1,1,0,0,2,2,0
STL,2.768292682926829,2.292682926829268,0.524390243902439,0.32926829268292684,0.04878048780487805,35,22,8,2,0,3,1,2,2,1,2,1,1,2
MTL,2.524390243902439,2.548780487804878,0.43902439024390244,0.3780487804878049,0.036585365853658534,24,18,7,3,0,0,0,0,2,1,1,0,1,4
OTT,2.9634146341463414,2.5365853658536586,0.47560975609756095,0.32926829268292684,0.08536585365853659,26,24,4,4,2,1,1,1,2,1,0,0,0,0
NJD,2.5,2.2804878048780486,0.5,0.34146341463414637,0.04878048780487805,29,21,8,2,0,4,4,1,1,2,0,4,3,1
NYI,2.9146341463414633,2.682926829268293,0.5121951219512195,0.34146341463414637,0.04878048780487805,31,22,7,2,1,0,0,0,0,0,0,0,1,3
VAN,3.097560975609756,2.573170731707317,0.5121951219512195,0.36585365853658536,0.036585365853658534,36,21,8,1,1,1,0,0,0,0,1,2,4,2
LAK,2.6097560975609757,2.317073170731707,0.4878048780487805,0.32926829268292684,0.04878048780487805,23,26,4,4,2,2,1,0,1,0,0,0,0,4
PHX,2.7804878048780486,2.5609756097560976,0.4878048780487805,0.32926829268292684,0.07317073170731707,37,29,6,3,1,0,1,1,1,1,0,0,0,0
CHI,2.6341463414634148,2.524390243902439,0.5,0.32926829268292684,0.012195121951219513,21,22,5,4,1,0,0,0,0,1,2,3,1,1
