,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,3.9375,2.725,0.6625,0.225,0.0,41,23,6,2,2,2,3,4,2,3,1,1,1,2
BOS,3.6125,3.2,0.4625,0.3625,0.0,41,31,6,3,1,4,1,1,1,1,3,2,1,2
WSH,3.8125,3.2375,0.5125,0.3625,0.0,50,34,7,3,0,2,1,2,1,2,1,0,0,0
PIT,4.3375,4.3625,0.5,0.4125,0.0,39,52,5,5,0,0,0,0,0,0,0,1,1,1
DET,3.9125,3.95,0.425,0.425,0.0,35,39,3,6,1,3,3,0,1,1,0,0,0,0
STL,3.4375,3.5625,0.4125,0.4375,0.0,31,29,8,2,0,2,1,3,1,2,1,2,2,1
CGY,4.425,2.825,0.675,0.2125,0.0,46,25,8,2,0,2,1,4,1,2,2,1,3,0
LAK,4.7,4.1875,0.525,0.3875,0.0,35,35,6,3,1,1,1,0,1,0,0,2,1,1
HFD,3.7375,3.625,0.4625,0.475,0.0,36,37,5,5,0,1,1,2,0,0,0,0,0,1
BUF,3.6375,3.7375,0.475,0.4375,0.0,31,24,6,4,0,1,0,0,1,1,2,1,2,3
PHI,3.8375,3.5625,0.45,0.45,0.0,39,42,4,5,1,1,4,1,4,1,1,1,2,4
NYR,3.875,3.8375,0.4625,0.4375,0.0,34,49,3,7,0,0,1,3,1,1,2,2,3,2
CHI,3.7125,4.1875,0.3375,0.5125,0.0,29,39,4,6,0,1,1,1,3,1,3,3,1,2
MNS,3.225,3.475,0.3375,0.4625,0.0,29,20,4,5,1,0,0,1,2,3,2,1,4,3
VAN,3.1375,3.1625,0.4125,0.4875,0.0,30,35,3,6,1,0,0,1,0,1,1,4,1,1
EDM,4.0625,3.825,0.475,0.425,0.0,34,42,3,6,1,4,4,2,4,4,4,1,2,1
