,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
NJD,3.024390243902439,2.3902439024390243,0.573170731707317,0.2926829268292683,0.0,35,18,8,2,0,1,2,0,4,3,1,1,1,1
OTT,2.9146341463414633,2.182926829268293,0.5365853658536586,0.2804878048780488,0.0,28,26,3,2,5,2,1,0,0,0,0,0,0,0
CAR,2.5609756097560976,2.4634146341463414,0.4146341463414634,0.36585365853658536,0.0,25,23,3,3,4,0,0,0,0,0,0,0,0,0
TOR,3.268292682926829,2.817073170731707,0.5487804878048781,0.36585365853658536,0.0,39,22,6,2,2,0,0,1,1,3,3,0,0,1
DAL,2.8780487804878048,2.048780487804878,0.6219512195121951,0.23170731707317074,0.0,30,22,6,4,0,3,1,0,1,2,0,0,0,0
SJS,2.3902439024390243,2.3292682926829267,0.3780487804878049,0.4024390243902439,0.0,30,24,4,5,1,1,0,0,2,2,0,0,0,0
DET,2.9878048780487805,2.4634146341463414,0.524390243902439,0.3902439024390244,0.0,29,18,7,2,1,4,4,3,4,1,1,2,1,0
PHX,2.5,2.402439024390244,0.47560975609756095,0.3780487804878049,0.0,24,25,4,6,0,1,1,0,0,0,0,0,0,0
PIT,2.951219512195122,2.7439024390243905,0.4634146341463415,0.36585365853658536,0.0,23,35,2,7,1,1,1,3,2,1,2,4,4,0
BUF,2.524390243902439,2.1341463414634148,0.45121951219512196,0.34146341463414637,0.0,20,16,4,4,2,3,2,0,1,1,2,1,1,1
BOS,2.6097560975609757,2.207317073170732,0.47560975609756095,0.36585365853658536,0.0,25,17,7,3,0,1,0,1,1,2,1,3,3,4
PHI,2.817073170731707,2.3902439024390243,0.45121951219512196,0.3170731707317073,0.0,20,23,4,4,2,1,4,2,3,0,0,0,0,0
EDM,2.8048780487804876,2.7560975609756095,0.4024390243902439,0.45121951219512196,0.0,34,30,6,3,1,2,2,0,0,0,0,3,3,4
COL,2.9146341463414633,2.5,0.5365853658536586,0.34146341463414637,0.0,34,24,7,2,1,1,3,4,0,0,0,0,0,0
ANA,2.6219512195121952,2.5121951219512195,0.4268292682926829,0.4146341463414634,0.0,21,32,2,6,2,0,2,0,0,0,0,0,0,0
STL,2.8902439024390243,2.548780487804878,0.45121951219512196,0.3902439024390244,0.0,30,21,6,2,2,2,1,2,1,1,2,1,2,2
