,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
OTT,3.8292682926829267,2.573170731707317,0.6341463414634146,0.25609756097560976,0.10975609756097561,31,38,3,5,2,0,1,3,2,1,1,1,2,1
CAR,3.5853658536585367,3.1707317073170733,0.6341463414634146,0.2682926829268293,0.0975609756097561,31,38,5,3,2,0,0,0,4,1,0,1,0,0
NJD,2.951219512195122,2.792682926829268,0.5609756097560976,0.32926829268292684,0.10975609756097561,39,20,10,0,0,0,1,4,1,4,4,1,1,2
BUF,3.426829268292683,2.9146341463414633,0.6341463414634146,0.2926829268292683,0.07317073170731707,34,25,7,3,0,0,0,0,0,2,1,4,3,2
DET,3.7195121951219514,2.548780487804878,0.7073170731707317,0.1951219512195122,0.0975609756097561,35,26,8,1,1,0,2,1,4,1,2,2,4,4
DAL,3.231707317073171,2.658536585365854,0.6463414634146342,0.2804878048780488,0.07317073170731707,28,31,4,3,3,0,1,2,0,2,4,4,3,1
CGY,2.658536585365854,2.4390243902439024,0.5609756097560976,0.3048780487804878,0.13414634146341464,29,18,6,1,3,0,4,0,0,0,0,0,0,0
NSH,3.158536585365854,2.768292682926829,0.5975609756097561,0.3048780487804878,0.0975609756097561,30,19,7,3,0,0,1,0,0,0,0,0,0,0
TBL,3.073170731707317,3.1707317073170733,0.524390243902439,0.4024390243902439,0.07317073170731707,27,33,5,4,1,0,4,2,0,0,0,0,0,0
MTL,2.9634146341463414,3.0121951219512195,0.5121951219512195,0.3780487804878049,0.10975609756097561,30,27,6,4,0,0,2,0,2,0,0,0,2,1
NYR,3.1341463414634148,2.6219512195121952,0.5365853658536586,0.3170731707317073,0.14634146341463414,25,31,4,6,0,0,0,0,0,0,0,0,0,3
PHI,3.2560975609756095,3.158536585365854,0.5487804878048781,0.3170731707317073,0.13414634146341464,27,29,5,4,1,0,3,2,1,1,3,1,1,4
EDM,3.1219512195121952,3.0609756097560976,0.5,0.34146341463414637,0.15853658536585366,26,20,5,4,1,0,0,1,0,1,1,1,2,2
COL,3.451219512195122,3.1341463414634148,0.524390243902439,0.36585365853658536,0.10975609756097561,29,35,4,5,1,0,2,1,3,4,3,3,1,3
ANA,3.097560975609756,2.792682926829268,0.524390243902439,0.32926829268292684,0.14634146341463414,36,31,6,4,0,0,0,4,0,0,0,1,0,2
SJS,3.2439024390243905,2.951219512195122,0.5365853658536586,0.32926829268292684,0.13414634146341464,36,24,8,1,1,0,3,0,2,1,2,1,1,0
