,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
PIT,3.4375,2.4791666666666665,0.75,0.25,0.0,40,25,8,2,0,1,1,2,4,4,1,0,0,0
MTL,3.1041666666666665,2.625,0.6041666666666666,0.2916666666666667,0.10416666666666667,29,35,4,6,0,0,1,3,1,2,0,1,0,2
WSH,3.1041666666666665,2.7083333333333335,0.5625,0.375,0.0625,36,22,8,1,1,2,2,1,2,1,0,0,0,0
BOS,2.7291666666666665,2.2708333333333335,0.5833333333333334,0.2916666666666667,0.125,23,28,3,5,2,1,4,2,2,1,0,0,0,1
CHI,3.2291666666666665,2.125,0.75,0.14583333333333334,0.10416666666666667,27,19,7,2,1,1,1,4,3,0,0,0,0,0
ANA,2.9166666666666665,2.4583333333333335,0.625,0.25,0.125,23,23,5,4,1,0,1,0,2,1,4,3,0,0
VAN,2.6458333333333335,2.5208333333333335,0.5416666666666666,0.3125,0.14583333333333334,24,26,5,4,1,1,4,2,2,0,2,0,0,1
STL,2.6875,2.3958333333333335,0.6041666666666666,0.3541666666666667,0.041666666666666664,22,17,7,3,0,2,0,0,1,0,0,0,0,1
NYI,2.8958333333333335,2.8958333333333335,0.5,0.3541666666666667,0.14583333333333334,30,22,6,1,3,0,0,0,0,0,1,0,0,1
OTT,2.4166666666666665,2.1666666666666665,0.5208333333333334,0.3541666666666667,0.125,22,19,6,4,0,1,0,1,0,1,4,2,0,1
NYR,2.7083333333333335,2.3333333333333335,0.5416666666666666,0.375,0.08333333333333333,37,22,7,3,0,3,1,0,1,2,2,1,0,0
TOR,3.0208333333333335,2.7708333333333335,0.5416666666666666,0.3541666666666667,0.10416666666666667,28,27,5,4,1,0,0,0,0,0,0,0,0,2
MIN,2.5416666666666665,2.6458333333333335,0.5416666666666666,0.3958333333333333,0.0625,19,30,4,5,1,0,0,0,0,1,1,0,0,0
DET,2.5833333333333335,2.3958333333333335,0.5,0.3333333333333333,0.16666666666666666,25,15,5,2,3,1,2,2,4,4,3,1,0,2
SJS,2.5833333333333335,2.4166666666666665,0.5208333333333334,0.3333333333333333,0.14583333333333334,26,22,5,5,0,1,3,3,1,2,2,2,0,3
LAK,2.7708333333333335,2.4583333333333335,0.5625,0.3333333333333333,0.10416666666666667,22,26,5,3,2,4,1,1,0,0,0,0,0,0
