,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,3.725,2.975,0.5625,0.275,0.0,36,25,5,2,3,3,4,2,3,1,1,1,2,3
BOS,3.75,3.1375,0.55,0.375,0.0,33,30,5,5,0,1,1,1,1,3,2,1,2,2
NYI,3.85,3.3375,0.4875,0.3875,0.0,42,29,6,3,1,2,1,2,4,4,4,4,4,2
WSH,3.5125,3.1125,0.475,0.4125,0.0,35,44,2,5,3,1,2,1,2,1,0,0,0,0
DET,4.025,3.3625,0.5125,0.35,0.0,38,35,4,4,2,3,0,1,1,0,0,0,0,0
STL,3.475,3.675,0.425,0.475,0.0,35,46,3,5,2,1,3,1,2,1,2,2,1,0
CGY,4.9625,3.8125,0.6,0.2875,0.0,57,38,7,2,1,1,4,1,2,2,1,3,0,0
EDM,4.5375,3.6,0.55,0.3125,0.0,48,39,6,2,2,4,2,4,4,4,1,2,1,0
HFD,3.1125,3.3375,0.4375,0.475,0.0,39,30,6,4,0,1,2,0,0,0,0,0,1,0
BUF,3.5375,3.8125,0.4625,0.4,0.0,32,40,4,4,2,0,0,1,1,2,1,2,3,1
NJD,3.6875,3.7,0.475,0.45,0.0,50,24,8,1,1,0,0,0,0,0,0,0,0,0
PHI,3.65,3.65,0.475,0.4125,0.0,32,36,3,5,2,4,1,4,1,1,1,2,4,2
TOR,3.4125,4.3125,0.2625,0.6125,0.0,31,47,2,8,0,2,2,0,0,1,0,1,1,2
CHI,3.55,4.1,0.375,0.5125,0.0,37,50,1,7,2,1,1,3,1,3,3,1,2,1
LAK,3.975,4.4875,0.375,0.525,0.0,54,47,5,2,3,1,0,1,0,0,2,1,1,1
WIN,3.65,3.875,0.4125,0.45,0.0,26,45,2,7,1,2,1,2,1,1,1,0,0,0
