,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
PIT,3.4313725490196076,2.784313725490196,0.6470588235294118,0.29411764705882354,0.058823529411764705,34,26,7,2,1,1,1,2,4,4,1,2,3,1
WSH,3.5,2.98,0.64,0.26,0.1,41,27,7,2,1,1,1,4,2,2,2,0,1,2
CAR,3.28,2.4,0.66,0.2,0.14,32,21,6,1,3,2,3,0,0,0,0,0,0,0
FLA,3.269230769230769,2.769230769230769,0.6346153846153846,0.2692307692307692,0.09615384615384616,37,29,7,2,1,1,0,0,0,1,0,0,0,1
COL,3.4791666666666665,2.4375,0.6666666666666666,0.25,0.08333333333333333,30,30,6,4,0,2,2,1,0,0,0,1,0,0
VGK,3.36734693877551,2.204081632653061,0.7142857142857143,0.24489795918367346,0.04081632653061224,38,16,9,1,0,3,1,4,0,0,0,0,0,0
TOR,3.34,2.64,0.64,0.26,0.1,34,32,5,3,2,1,1,1,1,0,0,0,1,0
EDM,3.2083333333333335,2.7083333333333335,0.6041666666666666,0.3541666666666667,0.041666666666666664,29,21,6,3,1,1,0,0,2,0,0,0,0,0
NYI,2.8,2.28,0.6,0.3,0.1,19,22,4,5,1,4,2,0,0,2,1,0,1,0
BOS,2.938775510204082,2.4693877551020407,0.5918367346938775,0.2857142857142857,0.12244897959183673,35,17,8,2,0,2,4,2,1,0,0,2,4,1
NSH,2.764705882352941,2.8627450980392157,0.5294117647058824,0.43137254901960786,0.0392156862745098,32,30,5,4,1,1,1,2,4,2,1,0,0,2
TBL,3.4,2.58,0.68,0.28,0.04,32,28,7,3,0,4,1,3,0,3,4,1,0,0
STL,3.0,3.125,0.4791666666666667,0.3958333333333333,0.125,40,26,7,3,0,1,4,0,2,3,1,1,1,2
MIN,3.2244897959183674,2.693877551020408,0.6326530612244898,0.2857142857142857,0.08163265306122448,41,26,7,1,2,1,0,1,1,1,2,2,1,0
MTL,2.8979591836734695,2.9183673469387754,0.4489795918367347,0.3673469387755102,0.1836734693877551,20,33,4,6,0,2,0,0,1,0,2,3,1,0
WPG,3.06,2.86,0.54,0.4,0.06,24,34,3,7,0,1,1,3,0,0,1,0,0,0
