,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,3.6125,2.9,0.575,0.3125,0.0,38,31,4,2,4,2,4,1,1,1,1,3,2,1
BUF,3.575,3.1,0.5625,0.3375,0.0,43,32,7,3,0,1,1,0,0,1,1,2,1,2
NYR,3.4875,3.3375,0.45,0.3875,0.0,44,39,4,5,1,1,0,1,3,1,1,2,2,3
NJD,3.6875,3.6,0.4625,0.425,0.0,40,29,6,3,1,0,3,0,0,0,0,0,0,0
CHI,3.95,3.675,0.5125,0.4125,0.0,38,30,6,3,1,3,1,1,1,3,1,3,3,1
STL,3.6875,3.4875,0.4625,0.425,0.0,37,50,3,7,0,2,2,1,3,1,2,1,2,2
CGY,4.35,3.3125,0.525,0.2875,0.0,46,34,7,2,1,4,2,1,4,1,2,2,1,3
EDM,3.9375,3.5375,0.475,0.35,0.0,34,34,4,4,2,1,4,4,2,4,4,4,1,2
HFD,3.4375,3.35,0.475,0.4125,0.0,32,22,6,2,2,1,1,1,2,0,0,0,0,0
MTL,3.6,2.925,0.5125,0.35,0.0,36,27,5,2,3,4,2,3,4,2,3,1,1,1
NYI,3.5125,3.6,0.3875,0.475,0.0,34,34,3,5,2,0,1,2,1,2,4,4,4,4
WSH,3.55,3.4375,0.45,0.475,0.0,23,24,5,4,1,1,2,1,2,1,2,1,0,0
MNS,3.55,3.6375,0.45,0.5,0.0,41,33,6,4,0,1,0,0,1,2,3,2,1,4
TOR,4.2125,4.475,0.475,0.475,0.0,36,46,3,6,1,0,1,2,2,0,0,1,0,1
LAK,4.225,4.2125,0.425,0.4875,0.0,40,44,4,5,1,2,1,1,0,1,0,0,2,1
WIN,3.725,3.625,0.4625,0.4,0.0,30,33,3,4,3,0,1,2,1,2,1,1,1,0
