,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,4.5,2.7875,0.575,0.2125,0.0,37,30,5,5,0,1,2,3,3,3,3,2,1,3
BOS,4.0375,3.5625,0.5375,0.3375,0.0,48,46,5,4,1,1,2,2,3,3,2,1,3,1
MNS,4.325,3.6,0.4625,0.2875,0.0,39,36,6,4,0,4,3,0,0,1,0,0,0,1
WIN,3.9875,4.15,0.4125,0.4125,0.0,39,32,5,4,1,0,0,0,0,0,0,0,0,0
NYI,4.8125,3.125,0.675,0.2,0.0,45,29,7,1,2,4,4,2,1,3,3,3,0,0
NYR,3.95,3.825,0.4875,0.3375,0.0,48,38,6,3,1,3,2,4,1,0,0,1,2,2
EDM,5.2125,3.6875,0.6,0.2125,0.0,51,30,6,1,3,2,1,0,0,0,0,0,0,0
VAN,3.625,3.575,0.375,0.4125,0.0,50,30,6,1,3,1,1,1,0,0,1,1,0,0
QUE,4.45,4.3125,0.4125,0.3875,0.0,43,48,2,6,2,1,0,0,0,0,0,0,0,0
BUF,3.8375,3.4125,0.4875,0.325,0.0,43,50,4,5,1,2,3,1,2,2,2,3,0,1
CHI,4.15,4.5375,0.375,0.475,0.0,40,50,4,4,2,1,2,1,1,1,1,2,2,3
STL,3.9375,4.3625,0.4,0.5,0.0,45,45,4,4,2,2,1,0,0,1,1,1,0,1
PIT,3.875,4.2125,0.3875,0.45,0.0,47,47,4,4,2,1,1,2,0,1,1,2,0,0
PHI,4.0625,3.9125,0.475,0.3875,0.0,39,33,4,3,3,2,4,2,3,2,3,3,3,2
LAK,3.925,4.6125,0.3,0.5125,0.0,44,55,3,7,0,1,1,1,1,2,2,1,1,0
CGY,4.175,4.3125,0.3625,0.425,0.0,44,40,5,4,1,3,0,0,0,0,0,0,0,0
