,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BUF,3.7560975609756095,2.951219512195122,0.6463414634146342,0.2682926829268293,0.08536585365853659,37,28,7,3,0,3,0,0,0,0,2,1,4,3
NJD,2.6341463414634148,2.451219512195122,0.5975609756097561,0.2926829268292683,0.10975609756097561,25,22,6,3,1,2,0,1,4,1,4,4,1,1
ATL,3.0,2.9878048780487805,0.524390243902439,0.34146341463414637,0.13414634146341464,25,24,6,3,1,0,0,0,0,0,0,0,0,0
OTT,3.5121951219512195,2.707317073170732,0.5853658536585366,0.3048780487804878,0.10975609756097561,39,25,6,2,2,2,0,1,3,2,1,1,1,2
DET,3.097560975609756,2.426829268292683,0.6097560975609756,0.23170731707317074,0.15853658536585366,26,18,5,1,4,1,0,2,1,4,1,2,2,4
ANA,3.1463414634146343,2.5365853658536586,0.5853658536585366,0.24390243902439024,0.17073170731707318,25,23,5,3,2,3,0,0,4,0,0,0,1,0
VAN,2.707317073170732,2.451219512195122,0.5975609756097561,0.3170731707317073,0.08536585365853659,27,22,6,3,1,0,0,1,2,1,1,0,0,0
NSH,3.317073170731707,2.5853658536585367,0.6219512195121951,0.2804878048780488,0.0975609756097561,26,22,5,3,2,1,0,1,0,0,0,0,0,0
NYI,3.024390243902439,2.926829268292683,0.4878048780487805,0.36585365853658536,0.14634146341463414,31,28,6,3,1,0,0,1,1,1,0,0,0,0
TBL,3.0853658536585367,3.182926829268293,0.5365853658536586,0.4024390243902439,0.06097560975609756,28,39,5,4,1,1,0,4,2,0,0,0,0,0
NYR,2.951219512195122,2.6341463414634148,0.5121951219512195,0.36585365853658536,0.12195121951219512,34,21,7,2,1,1,0,0,0,0,0,0,0,0
PIT,3.3780487804878048,3.0,0.573170731707317,0.2926829268292683,0.13414634146341464,27,23,6,3,1,0,0,0,0,0,3,2,2,1
CGY,3.1463414634146343,2.7560975609756095,0.524390243902439,0.35365853658536583,0.12195121951219512,27,26,6,4,0,1,0,4,0,0,0,0,0,0
MIN,2.8658536585365852,2.3292682926829267,0.5853658536585366,0.3170731707317073,0.0975609756097561,30,14,7,2,1,0,0,0,3,0,0,0,0,0
DAL,2.7560975609756095,2.402439024390244,0.6097560975609756,0.3048780487804878,0.08536585365853659,32,22,7,1,2,1,0,1,2,0,2,4,4,3
SJS,3.1463414634146343,2.426829268292683,0.6219512195121951,0.3170731707317073,0.06097560975609756,39,26,7,1,2,2,0,3,0,2,1,2,1,1
