,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,3.182926829268293,2.158536585365854,0.6585365853658537,0.23170731707317074,0.10975609756097561,31,24,5,2,3,4,1,4,2,2,1,0,0,0
TBL,2.926829268292683,2.6219512195121952,0.5609756097560976,0.32926829268292684,0.10975609756097561,26,22,7,3,0,0,0,3,0,0,0,1,1,0
PIT,3.0365853658536586,2.524390243902439,0.6219512195121951,0.2926829268292683,0.08536585365853659,25,27,5,3,2,3,1,1,2,4,4,1,0,0
NYR,2.658536585365854,2.3536585365853657,0.5487804878048781,0.3780487804878049,0.07317073170731707,28,18,6,2,2,2,3,1,0,1,2,2,1,0
COL,3.048780487804878,2.682926829268293,0.6341463414634146,0.2682926829268293,0.0975609756097561,29,22,7,1,2,0,0,0,1,0,2,0,2,0
STL,3.024390243902439,2.3292682926829267,0.6341463414634146,0.2804878048780488,0.08536585365853659,15,28,3,7,0,1,2,0,0,1,0,0,0,0
ANA,3.2439024390243905,2.548780487804878,0.6585365853658537,0.24390243902439024,0.0975609756097561,35,27,7,2,1,1,0,1,0,2,1,4,3,0
SJS,3.0365853658536586,2.4390243902439024,0.6219512195121951,0.2682926829268293,0.10975609756097561,28,27,5,4,1,2,1,3,3,1,2,2,2,0
DET,2.707317073170732,2.8048780487804876,0.47560975609756095,0.34146341463414637,0.18292682926829268,31,26,6,3,1,2,1,2,2,4,4,3,1,0
MTL,2.6219512195121952,2.4878048780487805,0.5609756097560976,0.34146341463414637,0.0975609756097561,29,21,7,2,1,1,0,1,3,1,2,0,1,0
CBJ,2.817073170731707,2.6341463414634148,0.524390243902439,0.3902439024390244,0.08536585365853659,27,20,6,3,1,0,0,0,0,1,0,0,0,0
PHI,2.8780487804878048,2.8658536585365852,0.5121951219512195,0.36585365853658536,0.12195121951219512,30,31,4,3,3,0,2,2,4,1,3,0,1,0
MIN,2.524390243902439,2.5121951219512195,0.524390243902439,0.32926829268292684,0.14634146341463414,27,28,6,3,1,1,0,0,0,0,1,1,0,0
CHI,3.2560975609756095,2.682926829268293,0.5609756097560976,0.25609756097560976,0.18292682926829268,27,34,5,5,0,4,1,1,4,3,0,0,0,0
DAL,2.8658536585365852,2.7804878048780486,0.4878048780487805,0.3780487804878049,0.13414634146341464,32,21,6,4,0,0,0,0,0,0,3,1,1,0
LAK,2.5121951219512195,2.1219512195121952,0.5609756097560976,0.34146341463414637,0.0975609756097561,29,23,5,3,2,3,4,1,1,0,0,0,0,0
