,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
FLA,2.9146341463414633,2.475609756097561,0.573170731707317,0.3170731707317073,0.10975609756097561,34,26,7,3,0,0,0,0,1,0,0,0,0,0
TBL,2.768292682926829,2.451219512195122,0.5609756097560976,0.3780487804878049,0.06097560975609756,31,30,5,5,0,4,1,0,0,3,0,0,0,1
WSH,3.073170731707317,2.3536585365853657,0.6829268292682927,0.21951219512195122,0.0975609756097561,21,23,4,3,3,2,0,1,2,2,1,2,1,0
PIT,2.9878048780487805,2.475609756097561,0.5853658536585366,0.3170731707317073,0.0975609756097561,41,24,8,2,0,1,2,3,1,1,2,4,4,1
DAL,3.2560975609756095,2.8048780487804876,0.6097560975609756,0.2804878048780488,0.10975609756097561,34,19,8,2,0,0,1,0,0,0,0,0,3,1
STL,2.731707317073171,2.451219512195122,0.5975609756097561,0.2926829268292683,0.10975609756097561,33,16,8,2,0,1,1,1,2,0,0,1,0,0
ANA,2.658536585365854,2.341463414634146,0.5609756097560976,0.3048780487804878,0.13414634146341464,33,24,6,2,2,3,2,1,0,1,0,2,1,4
LAK,2.7439024390243905,2.3780487804878048,0.5853658536585366,0.34146341463414637,0.07317073170731707,27,30,4,5,1,0,4,3,4,1,1,0,0,0
NYI,2.8292682926829267,2.6341463414634148,0.5487804878048781,0.32926829268292684,0.12195121951219512,32,34,6,3,1,1,0,1,0,0,0,0,0,1
DET,2.573170731707317,2.731707317073171,0.5,0.36585365853658536,0.13414634146341464,27,34,5,5,0,1,1,2,1,2,2,4,4,3
PHI,2.6097560975609757,2.658536585365854,0.5,0.32926829268292684,0.17073170731707318,26,25,6,3,1,0,1,0,2,2,4,1,3,0
NYR,2.8780487804878048,2.6463414634146343,0.5609756097560976,0.32926829268292684,0.10975609756097561,33,27,6,3,1,3,4,2,3,1,0,1,2,2
MIN,2.6341463414634148,2.5121951219512195,0.4634146341463415,0.4024390243902439,0.13414634146341464,25,22,5,5,0,2,2,1,0,0,0,0,1,1
CHI,2.8658536585365852,2.548780487804878,0.573170731707317,0.3170731707317073,0.10975609756097561,34,33,5,2,3,4,3,4,1,1,4,3,0,0
NSH,2.7804878048780486,2.6219512195121952,0.5,0.32926829268292684,0.17073170731707318,31,30,5,4,1,1,0,0,2,2,1,0,1,1
SJS,2.9390243902439024,2.5609756097560976,0.5609756097560976,0.36585365853658536,0.07317073170731707,27,25,5,5,0,0,1,2,1,3,3,1,2,2
