,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
NYI,4.4375,3.25,0.6,0.225,0.0,42,27,7,1,2,4,2,1,3,3,3,0,0,0
STL,4.4,3.5125,0.5625,0.225,0.0,40,46,4,4,2,1,0,0,1,1,1,0,1,2
MTL,4.15,2.9,0.5625,0.275,0.0,36,33,5,3,2,2,3,3,3,3,2,1,3,1
LAK,4.2125,3.625,0.5375,0.3,0.0,45,39,5,2,3,1,1,1,2,2,1,1,0,0
BUF,4.0875,3.125,0.4875,0.25,0.0,50,39,5,3,2,3,1,2,2,2,3,0,1,0
PHI,3.9125,3.1125,0.5125,0.3,0.0,28,28,3,3,4,4,2,3,2,3,3,3,2,0
CGY,4.1125,3.725,0.4875,0.3375,0.0,39,50,3,5,2,0,0,0,0,0,0,0,0,0
BOS,3.95,3.4,0.4625,0.375,0.0,34,29,4,5,1,2,2,3,3,2,1,3,1,3
TOR,4.025,4.5875,0.35,0.4625,0.0,40,46,4,3,3,1,2,3,2,2,2,1,0,1
PIT,3.775,4.3125,0.375,0.4625,0.0,30,35,3,4,3,1,2,0,1,1,2,0,0,1
EDM,4.1,4.0875,0.3625,0.4375,0.0,48,31,6,1,3,1,0,0,0,0,0,0,0,0
NYR,3.9,3.9625,0.375,0.45,0.0,36,24,6,2,2,2,4,1,0,0,1,2,2,3
VAN,3.6125,3.7625,0.35,0.4,0.0,39,39,3,4,3,1,1,0,0,1,1,0,0,0
QUE,3.925,3.975,0.375,0.4,0.0,44,34,5,2,3,0,0,0,0,0,0,0,0,0
CHI,3.8,3.9375,0.3875,0.4125,0.0,38,34,4,4,2,2,1,1,1,1,2,2,3,2
MNS,3.6375,3.2875,0.4375,0.35,0.0,41,39,4,5,1,3,0,0,1,0,0,0,1,1
