,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,3.341463414634146,2.3902439024390243,0.6463414634146342,0.23170731707317074,0.12195121951219512,35,26,8,2,0,1,0,0,0,1,1,1,0,0
WSH,3.317073170731707,2.9878048780487805,0.6097560975609756,0.2926829268292683,0.0975609756097561,40,35,6,2,2,1,0,0,0,0,1,0,1,1
NJD,2.975609756097561,2.548780487804878,0.6219512195121951,0.32926829268292684,0.04878048780487805,21,32,4,5,1,1,2,2,0,1,4,1,4,4
PIT,3.2195121951219514,2.9146341463414633,0.5487804878048781,0.34146341463414637,0.10975609756097561,36,21,7,2,1,4,1,0,0,0,0,0,3,2
SJS,3.1341463414634148,2.4878048780487805,0.6463414634146342,0.21951219512195122,0.13414634146341464,24,28,5,4,1,2,2,2,0,3,0,2,1,2
DET,3.597560975609756,2.975609756097561,0.6219512195121951,0.25609756097560976,0.12195121951219512,25,32,3,6,1,4,3,1,0,2,1,4,1,2
VAN,3.0,2.682926829268293,0.5487804878048781,0.32926829268292684,0.12195121951219512,27,22,6,3,1,0,2,0,0,1,2,1,1,0
CHI,3.2195121951219514,2.6341463414634148,0.5609756097560976,0.2926829268292683,0.14634146341463414,25,20,7,2,1,0,0,0,0,0,0,1,0,0
MTL,3.0365853658536586,3.0121951219512195,0.5,0.36585365853658536,0.13414634146341464,35,27,5,3,2,2,0,1,0,2,0,2,0,0
NYR,2.5609756097560976,2.658536585365854,0.524390243902439,0.36585365853658536,0.10975609756097561,24,22,5,4,1,2,2,1,0,0,0,0,0,0
CAR,2.9146341463414633,2.7560975609756095,0.5487804878048781,0.36585365853658536,0.08536585365853659,35,21,8,2,0,0,0,4,0,0,0,4,1,0
PHI,3.2195121951219514,2.902439024390244,0.5365853658536586,0.32926829268292684,0.13414634146341464,31,32,4,5,1,3,0,1,0,3,2,1,1,3
ANA,2.9878048780487805,2.902439024390244,0.5121951219512195,0.4024390243902439,0.08536585365853659,42,30,7,2,1,1,4,3,0,0,4,0,0,0
CBJ,2.7560975609756095,2.8048780487804876,0.5,0.3780487804878049,0.12195121951219512,25,30,3,3,4,0,0,0,0,0,0,0,0,0
STL,2.841463414634146,2.841463414634146,0.5,0.3780487804878049,0.12195121951219512,34,21,8,1,1,0,0,0,0,1,1,2,3,1
CGY,3.097560975609756,3.024390243902439,0.5609756097560976,0.36585365853658536,0.07317073170731707,16,27,4,6,0,1,1,1,0,4,0,0,0,0
