,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
NJD,2.7439024390243905,2.024390243902439,0.5853658536585366,0.2804878048780488,0.0,23,29,3,5,2,2,0,4,3,1,1,1,1,0
PIT,2.7804878048780486,2.292682926829268,0.4878048780487805,0.2926829268292683,0.0,27,21,4,4,2,1,3,2,1,2,4,4,0,2
PHI,2.951219512195122,2.3536585365853657,0.5121951219512195,0.35365853658536583,0.0,29,22,5,5,0,4,2,3,0,0,0,0,0,3
WSH,2.6707317073170733,2.4634146341463414,0.4878048780487805,0.36585365853658536,0.0,29,18,7,2,1,0,1,1,2,1,1,2,3,1
DAL,2.951219512195122,2.0365853658536586,0.5975609756097561,0.2682926829268293,0.0,28,24,6,4,0,1,0,1,2,0,0,0,0,0
COL,2.817073170731707,2.5,0.47560975609756095,0.3170731707317073,0.0,22,28,3,6,1,3,4,0,0,0,0,0,0,0
DET,3.048780487804878,2.3902439024390243,0.5365853658536586,0.2804878048780488,0.0,31,22,6,4,0,4,3,4,1,1,2,1,0,1
STL,3.1219512195121952,2.4878048780487805,0.5487804878048781,0.35365853658536583,0.0,45,32,7,3,0,1,2,1,1,2,1,2,2,2
OTT,2.3536585365853657,2.4390243902439024,0.4146341463414634,0.4024390243902439,0.0,25,21,6,2,2,1,0,0,0,0,0,0,0,0
MTL,2.8658536585365852,2.5365853658536586,0.45121951219512196,0.3902439024390244,0.0,23,25,3,3,4,1,1,0,1,4,2,2,2,4
BUF,2.573170731707317,2.2804878048780486,0.43902439024390244,0.35365853658536583,0.0,28,22,5,3,2,2,0,1,1,2,1,1,1,1
BOS,2.6951219512195124,2.3658536585365852,0.47560975609756095,0.36585365853658536,0.0,31,26,6,4,0,0,1,1,2,1,3,3,4,2
SJS,2.5609756097560976,2.6341463414634148,0.4146341463414634,0.4634146341463415,0.0,33,25,5,2,3,0,0,2,2,0,0,0,0,0
EDM,2.6219512195121952,2.731707317073171,0.4268292682926829,0.45121951219512196,0.0,32,23,7,3,0,2,0,0,0,0,3,3,4,1
PHX,2.731707317073171,2.768292682926829,0.4268292682926829,0.4268292682926829,0.0,31,25,7,3,0,1,0,0,0,0,0,0,0,0
LAK,2.768292682926829,2.7439024390243905,0.4634146341463415,0.4024390243902439,0.0,19,31,4,6,0,0,0,0,0,4,1,2,2,2
