,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
OTT,3.207317073170732,2.2195121951219514,0.6341463414634146,0.25609756097560976,0.012195121951219513,34,23,7,2,1,2,1,1,1,2,1,0,0,0
NJD,2.6341463414634148,2.024390243902439,0.5609756097560976,0.24390243902439024,0.07317073170731707,27,14,5,0,5,1,4,4,1,1,2,0,4,3
TBL,2.6707317073170733,2.5609756097560976,0.43902439024390244,0.3048780487804878,0.06097560975609756,23,22,3,2,5,0,0,0,0,0,0,1,0,0
PHI,2.573170731707317,2.024390243902439,0.5487804878048781,0.24390243902439024,0.04878048780487805,37,13,7,1,2,1,1,3,1,1,4,2,3,0
DAL,2.9878048780487805,2.0609756097560976,0.5609756097560976,0.2073170731707317,0.04878048780487805,28,21,7,1,2,0,2,4,4,3,1,0,1,2
DET,3.2804878048780486,2.475609756097561,0.5853658536585366,0.24390243902439024,0.04878048780487805,35,23,6,2,2,4,1,2,2,4,4,3,4,1
COL,3.0609756097560976,2.3658536585365852,0.5121951219512195,0.23170731707317074,0.0975609756097561,39,19,7,1,2,3,4,3,3,1,3,4,0,0
VAN,3.2195121951219514,2.5365853658536586,0.5487804878048781,0.2804878048780488,0.012195121951219513,38,25,5,4,1,1,1,0,0,0,0,1,2,4
NYI,2.731707317073171,2.817073170731707,0.4268292682926829,0.4146341463414634,0.024390243902439025,30,34,3,5,2,1,0,0,0,0,0,0,0,1
BOS,2.9878048780487805,2.8902439024390243,0.43902439024390244,0.3780487804878049,0.04878048780487805,26,26,3,4,3,1,0,0,2,1,0,1,1,2
WSH,2.731707317073171,2.682926829268293,0.47560975609756095,0.35365853658536583,0.07317073170731707,28,30,6,3,1,0,1,1,0,4,0,1,1,2
TOR,2.8780487804878048,2.5365853658536586,0.5365853658536586,0.34146341463414637,0.036585365853658534,29,26,5,2,3,3,2,2,3,0,0,1,1,3
EDM,2.817073170731707,2.8048780487804876,0.43902439024390244,0.3170731707317073,0.10975609756097561,36,30,5,1,4,0,1,1,1,2,2,0,0,0
ANA,2.475609756097561,2.3536585365853657,0.4878048780487805,0.32926829268292684,0.07317073170731707,27,22,5,2,3,0,0,0,1,0,2,0,0,0
MIN,2.4146341463414633,2.1707317073170733,0.5121951219512195,0.35365853658536583,0.012195121951219513,22,19,6,4,0,0,0,0,0,0,0,0,0,0
STL,3.0853658536585367,2.707317073170732,0.5,0.2926829268292683,0.07317073170731707,24,34,3,5,2,2,3,1,2,2,1,2,1,1
