,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,2.6951219512195124,2.3048780487804876,0.6097560975609756,0.2682926829268293,0.12195121951219512,30,30,5,2,3,3,1,0,1,3,1,2,0,1
TBL,3.1951219512195124,2.573170731707317,0.6097560975609756,0.2926829268292683,0.0975609756097561,29,26,6,3,1,1,0,0,3,0,0,0,1,1
NYR,3.073170731707317,2.341463414634146,0.6463414634146342,0.2682926829268293,0.08536585365853659,33,25,7,3,0,4,2,3,1,0,1,2,2,1
WSH,2.951219512195122,2.475609756097561,0.5487804878048781,0.3170731707317073,0.13414634146341464,30,26,6,3,1,0,1,2,2,1,2,1,0,0
STL,3.024390243902439,2.451219512195122,0.6219512195121951,0.2926829268292683,0.08536585365853659,26,23,6,3,1,1,1,2,0,0,1,0,0,0
NSH,2.8292682926829267,2.5365853658536586,0.573170731707317,0.3048780487804878,0.12195121951219512,27,32,4,4,2,0,0,2,2,1,0,1,1,1
ANA,2.8780487804878048,2.7560975609756095,0.6219512195121951,0.2926829268292683,0.08536585365853659,25,29,6,4,0,2,1,0,1,0,2,1,4,3
VAN,2.951219512195122,2.707317073170732,0.5853658536585366,0.35365853658536583,0.06097560975609756,36,29,6,3,1,0,1,1,4,2,2,0,2,0
OTT,2.902439024390244,2.6219512195121952,0.524390243902439,0.3170731707317073,0.15853658536585366,26,25,6,2,2,0,2,1,0,1,0,1,4,2
DET,2.8658536585365852,2.6951219512195124,0.524390243902439,0.3048780487804878,0.17073170731707318,27,26,4,4,2,1,2,1,2,2,4,4,3,1
PIT,2.6951219512195124,2.5609756097560976,0.524390243902439,0.32926829268292684,0.14634146341463414,21,32,3,5,2,2,3,1,1,2,4,4,1,0
NYI,3.073170731707317,2.8048780487804876,0.573170731707317,0.34146341463414637,0.08536585365853659,30,27,4,3,3,0,1,0,0,0,0,0,1,0
MIN,2.817073170731707,2.451219512195122,0.5609756097560976,0.34146341463414637,0.0975609756097561,24,20,6,3,1,2,1,0,0,0,0,1,1,0
CHI,2.792682926829268,2.3048780487804876,0.5853658536585366,0.34146341463414637,0.07317073170731707,23,26,4,6,0,3,4,1,1,4,3,0,0,0
WPG,2.8048780487804876,2.5609756097560976,0.524390243902439,0.3170731707317073,0.15853658536585366,29,21,6,3,1,0,0,0,0,0,0,0,0,0
CGY,2.9390243902439024,2.6341463414634148,0.5487804878048781,0.36585365853658536,0.08536585365853659,30,27,6,3,1,0,0,0,0,0,1,1,1,1
