,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
TBL,3.9634146341463414,2.707317073170732,0.7560975609756098,0.1951219512195122,0.04878048780487805,42,32,7,3,0,3,0,3,4,1,0,0,3,0
BOS,3.158536585365854,2.6219512195121952,0.5975609756097561,0.2926829268292683,0.10975609756097561,43,30,6,4,0,2,1,0,0,2,4,1,4,2
WSH,3.3902439024390243,3.0365853658536586,0.5853658536585366,0.3170731707317073,0.0975609756097561,30,24,6,3,1,4,2,2,2,0,1,2,2,1
NYI,2.7804878048780486,2.3902439024390243,0.5853658536585366,0.32926829268292684,0.08536585365853659,22,23,6,4,0,0,0,2,1,0,1,0,0,0
NSH,2.926829268292683,2.6097560975609757,0.573170731707317,0.35365853658536583,0.07317073170731707,25,21,7,2,1,2,4,2,1,0,0,2,2,1
WPG,3.317073170731707,2.975609756097561,0.573170731707317,0.36585365853658536,0.06097560975609756,26,31,4,5,1,3,0,0,1,0,0,0,0,0
CGY,3.524390243902439,2.768292682926829,0.6097560975609756,0.3048780487804878,0.08536585365853659,33,21,6,4,0,0,1,0,2,0,0,0,0,0
SJS,3.524390243902439,3.182926829268293,0.5609756097560976,0.32926829268292684,0.10975609756097561,31,39,3,6,1,2,1,4,0,1,2,1,3,3
CBJ,3.1463414634146343,2.8292682926829267,0.573170731707317,0.3780487804878049,0.04878048780487805,38,22,7,3,0,1,1,0,0,1,0,0,0,0
TOR,3.4878048780487805,3.0609756097560976,0.5609756097560976,0.34146341463414637,0.0975609756097561,27,35,3,4,3,1,1,0,0,0,1,0,0,0
CAR,2.9878048780487805,2.7195121951219514,0.5609756097560976,0.35365853658536583,0.08536585365853659,30,25,6,4,0,0,0,0,0,0,0,0,0,0
PIT,3.3292682926829267,2.9390243902439024,0.5365853658536586,0.3170731707317073,0.14634146341463414,25,23,5,2,3,2,4,4,1,2,3,1,1,2
DAL,2.5609756097560976,2.4634146341463414,0.524390243902439,0.3902439024390244,0.08536585365853659,29,24,6,3,1,0,0,2,0,1,0,0,0,0
STL,3.0121951219512195,2.7195121951219514,0.5487804878048781,0.34146341463414637,0.10975609756097561,40,25,8,1,1,0,2,3,1,1,1,2,0,0
COL,3.1707317073170733,3.0,0.4634146341463415,0.36585365853658536,0.17073170731707318,31,23,7,1,2,1,0,0,0,1,0,0,0,1
VGK,3.0365853658536586,2.8048780487804876,0.524390243902439,0.3902439024390244,0.08536585365853659,29,30,3,5,2,4,0,0,0,0,0,0,0,0
