,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,4.0875,2.85,0.625,0.25,0.0,34,29,5,3,2,2,1,2,2,3,3,2,1,3
MTL,4.375,3.575,0.525,0.3,0.0,45,38,6,3,1,1,1,2,3,3,3,3,2,1
PHI,4.075,3.0,0.6125,0.2875,0.0,40,44,5,5,0,1,2,4,2,3,2,3,3,3
NYI,3.775,2.825,0.525,0.325,0.0,48,25,7,3,0,4,4,4,2,1,3,3,3,0
CHI,4.225,3.35,0.5875,0.2875,0.0,46,26,6,3,1,3,1,2,1,1,1,1,2,2
MNS,4.0125,3.625,0.5,0.3,0.0,36,44,4,5,1,1,4,3,0,0,1,0,0,0
EDM,5.3,3.9375,0.5875,0.2625,0.0,56,33,8,1,1,1,2,1,0,0,0,0,0,0
CGY,4.0125,3.9625,0.4,0.425,0.0,38,32,4,2,4,1,3,0,0,0,0,0,0,0
QUE,4.2875,4.2,0.425,0.425,0.0,39,43,3,6,1,3,1,0,0,0,0,0,0,0
BUF,3.975,3.5625,0.475,0.3625,0.0,49,51,4,5,1,1,2,3,1,2,2,2,3,0
NYR,3.825,3.5875,0.4375,0.4375,0.0,29,28,5,4,1,2,3,2,4,1,0,0,1,2
WSH,3.825,3.5375,0.4875,0.3125,0.0,35,35,5,3,2,0,0,0,0,0,0,0,0,0
STL,3.5625,3.95,0.3125,0.5,0.0,35,38,4,5,1,2,2,1,0,0,1,1,1,0
TOR,3.6625,4.125,0.35,0.5,0.0,34,42,5,5,0,0,1,1,2,3,2,2,2,1
WIN,3.8875,4.1625,0.4125,0.4875,0.0,54,39,7,3,0,1,0,0,0,0,0,0,0,0
VAN,3.7875,3.8625,0.375,0.4375,0.0,45,34,4,2,4,4,1,1,1,0,0,1,1,0
