,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,4.2,3.2625,0.6125,0.3125,0.0,39,31,7,2,1,3,2,1,2,2,3,3,2,1
BUF,3.9375,3.2125,0.6,0.3125,0.0,35,28,6,4,0,2,1,2,3,1,2,2,2,3
NYI,4.4625,3.3625,0.625,0.325,0.0,39,22,6,2,2,4,4,4,4,2,1,3,3,3
WSH,3.85,2.825,0.6,0.3375,0.0,36,20,7,2,1,1,0,0,0,0,0,0,0,0
MNS,4.3125,4.3,0.4875,0.3875,0.0,40,45,4,2,4,2,1,4,3,0,0,1,0,0
STL,3.6625,3.95,0.4,0.5125,0.0,46,33,6,4,0,1,2,2,1,0,0,1,1,1
EDM,5.575,3.925,0.7125,0.225,0.0,55,31,8,2,0,4,1,2,1,0,0,0,0,0
CGY,3.8875,3.925,0.425,0.4,0.0,41,44,4,5,1,2,1,3,0,0,0,0,0,0
MTL,3.575,3.6875,0.4375,0.5,0.0,26,37,3,7,0,1,1,1,2,3,3,3,3,2
QUE,4.5,3.475,0.525,0.35,0.0,45,40,4,4,2,1,3,1,0,0,0,0,0,0
NYR,3.925,3.8,0.525,0.3625,0.0,41,37,6,4,0,2,2,3,2,4,1,0,0,1
PHI,4.375,3.625,0.55,0.325,0.0,54,35,8,2,0,1,1,2,4,2,3,2,3,3
CHI,3.4625,3.8875,0.375,0.525,0.0,38,42,4,6,0,3,3,1,2,1,1,1,1,2
DET,3.725,4.0375,0.3875,0.525,0.0,39,43,3,7,0,0,0,0,0,0,2,0,0,0
WIN,4.25,4.675,0.3875,0.475,0.0,27,41,3,6,1,1,1,0,0,0,0,0,0,0
VAN,3.825,4.1,0.4,0.4875,0.0,35,43,5,3,2,1,4,1,1,1,0,0,1,1
