,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,3.7195121951219514,2.158536585365854,0.7926829268292683,0.14634146341463414,0.06097560975609756,34,23,9,1,0,1,2,2,4,2,1,0,0,2
TOR,3.402439024390244,2.707317073170732,0.6097560975609756,0.25609756097560976,0.13414634146341464,31,21,7,1,2,1,1,1,1,1,1,0,0,0
CAR,3.2439024390243905,2.597560975609756,0.6341463414634146,0.25609756097560976,0.10975609756097561,25,25,5,5,0,2,2,2,3,0,0,0,0,0
NJD,3.548780487804878,2.7560975609756095,0.6341463414634146,0.2682926829268293,0.0975609756097561,40,28,7,3,0,0,0,0,0,1,0,0,0,0
COL,3.4146341463414633,2.7560975609756095,0.6219512195121951,0.2926829268292683,0.08536585365853659,40,26,8,1,1,4,2,2,2,1,0,0,0,1
DAL,3.475609756097561,2.658536585365854,0.573170731707317,0.25609756097560976,0.17073170731707318,35,17,8,2,0,1,0,4,2,0,0,2,0,1
VGK,3.317073170731707,2.792682926829268,0.6219512195121951,0.2682926829268293,0.10975609756097561,34,27,6,1,3,0,3,3,1,4,0,0,0,0
EDM,3.9634146341463414,3.1707317073170733,0.6097560975609756,0.2804878048780488,0.10975609756097561,42,18,9,0,1,3,1,1,0,0,2,0,0,0
FLA,3.5365853658536586,3.3292682926829267,0.5121951219512195,0.3902439024390244,0.0975609756097561,38,26,6,3,1,2,1,1,0,0,0,1,0,0
TBL,3.451219512195122,3.097560975609756,0.5609756097560976,0.36585365853658536,0.07317073170731707,33,33,4,6,0,4,4,4,1,3,0,3,4,1
NYI,2.9634146341463414,2.707317073170732,0.5121951219512195,0.3780487804878049,0.10975609756097561,28,24,5,4,1,0,3,4,2,0,0,2,1,0
NYR,3.3780487804878048,2.6707317073170733,0.573170731707317,0.2682926829268293,0.15853658536585366,34,24,5,2,3,3,0,1,0,0,2,1,3,4
SEA,3.524390243902439,3.1219512195121952,0.5609756097560976,0.34146341463414637,0.0975609756097561,36,25,6,4,0,0,0,0,0,0,0,0,0,0
MIN,3.0,2.7439024390243905,0.5609756097560976,0.3048780487804878,0.13414634146341464,30,28,5,3,2,1,1,1,0,1,1,1,2,2
WPG,3.0121951219512195,2.7439024390243905,0.5609756097560976,0.4024390243902439,0.036585365853658534,30,22,6,4,0,0,2,1,1,3,0,0,1,0
LAK,3.4146341463414633,3.1341463414634148,0.573170731707317,0.3048780487804878,0.12195121951219512,29,27,5,5,0,1,0,0,0,1,0,1,0,4
