,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
WSH,2.731707317073171,2.402439024390244,0.5853658536585366,0.2804878048780488,0.13414634146341464,29,21,7,2,1,1,2,1,0,0,0,0,1,0
PHI,3.158536585365854,2.7195121951219514,0.573170731707317,0.2804878048780488,0.14634146341463414,27,28,3,4,3,4,1,3,0,1,0,3,2,1
BOS,3.0,2.3780487804878048,0.5609756097560976,0.3048780487804878,0.13414634146341464,29,19,6,3,1,2,2,1,0,0,0,1,1,1
PIT,2.902439024390244,2.426829268292683,0.5975609756097561,0.3048780487804878,0.0975609756097561,30,22,8,2,0,2,4,4,1,0,0,0,0,0
VAN,3.1951219512195124,2.2560975609756095,0.6585365853658537,0.23170731707317074,0.10975609756097561,25,16,7,3,0,2,2,0,2,0,0,1,2,1
SJS,3.024390243902439,2.597560975609756,0.5853658536585366,0.3048780487804878,0.10975609756097561,42,25,7,2,1,3,1,2,2,2,0,3,0,2
DET,3.182926829268293,2.9390243902439024,0.573170731707317,0.3048780487804878,0.12195121951219512,28,37,4,4,2,2,4,4,3,1,0,2,1,4
ANA,2.9146341463414633,2.8658536585365852,0.573170731707317,0.36585365853658536,0.06097560975609756,35,27,7,3,0,0,2,1,4,3,0,0,4,0
NYR,2.841463414634146,2.4146341463414633,0.5365853658536586,0.4024390243902439,0.06097560975609756,23,21,6,3,1,0,1,2,2,1,0,0,0,0
BUF,2.9878048780487805,2.792682926829268,0.524390243902439,0.35365853658536583,0.12195121951219512,31,21,8,1,1,1,0,0,3,3,0,0,0,0
MTL,2.6341463414634148,2.548780487804878,0.5365853658536586,0.36585365853658536,0.0975609756097561,24,25,5,4,1,3,1,2,0,1,0,2,0,2
TBL,3.0121951219512195,2.926829268292683,0.5609756097560976,0.3048780487804878,0.13414634146341464,33,23,7,3,0,0,0,0,1,1,0,4,2,0
CHI,3.1463414634146343,2.7439024390243905,0.5365853658536586,0.35365853658536583,0.10975609756097561,24,23,5,4,1,4,3,0,0,0,0,0,0,1
LAK,2.6707317073170733,2.4146341463414633,0.5609756097560976,0.36585365853658536,0.07317073170731707,22,22,6,4,0,1,0,0,0,0,0,0,0,1
PHX,2.817073170731707,2.7560975609756095,0.524390243902439,0.3170731707317073,0.15853658536585366,22,22,5,3,2,1,0,0,0,0,0,0,0,1
NSH,2.6707317073170733,2.3658536585365852,0.5365853658536586,0.32926829268292684,0.13414634146341464,33,25,7,2,1,1,0,1,1,1,0,1,0,0
