,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
PHI,4.0875,3.175,0.6,0.15,0.0,31,40,3,4,3,2,3,2,3,3,3,2,0,1
BUF,3.975,2.5125,0.5875,0.2125,0.0,52,19,6,0,4,1,2,2,2,3,0,1,0,0
MTL,4.1,3.0,0.5875,0.25,0.0,51,28,5,0,5,3,3,3,3,2,1,3,1,3
BOS,3.875,2.925,0.575,0.2625,0.0,42,29,6,2,2,2,3,3,2,1,3,1,3,1
NYI,3.5125,3.0875,0.4875,0.35,0.0,43,24,6,0,4,2,1,3,3,3,0,0,0,0
MNS,3.8875,3.1625,0.45,0.35,0.0,35,24,5,3,2,0,0,1,0,0,0,1,1,2
CHI,3.0125,3.125,0.425,0.3375,0.0,37,36,4,4,2,1,1,1,1,2,2,3,2,3
NYR,3.85,3.55,0.475,0.4,0.0,33,41,3,6,1,4,1,0,0,1,2,2,3,2
EDM,3.7625,4.025,0.35,0.4875,0.0,47,34,7,2,1,0,0,0,0,0,0,0,0,0
VAN,3.2,3.5125,0.3375,0.4625,0.0,35,32,5,3,2,1,0,0,1,1,0,0,0,0
HFD,3.7875,3.9,0.3375,0.425,0.0,43,46,2,4,4,0,0,0,0,0,0,0,0,0
PIT,3.1375,3.7875,0.375,0.4625,0.0,28,43,4,5,1,2,0,1,1,2,0,0,1,0
LAK,3.625,3.9125,0.375,0.45,0.0,30,26,4,2,4,1,1,2,2,1,1,0,0,0
TOR,3.8,4.0875,0.4375,0.5,0.0,38,39,5,5,0,2,3,2,2,2,1,0,1,1
STL,3.325,3.475,0.425,0.425,0.0,42,39,5,4,1,0,0,1,1,1,0,1,2,1
AFM,3.525,3.3625,0.4375,0.4,0.0,38,43,3,6,1,1,1,1,1,0,1,0,0,0
