,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
TBL,3.6097560975609757,2.8780487804878048,0.6585365853658537,0.2804878048780488,0.06097560975609756,36,34,5,4,1,0,3,4,1,0,0,3,0,0
BOS,3.292682926829268,2.6097560975609757,0.6097560975609756,0.24390243902439024,0.14634146341463414,30,28,5,3,2,1,0,0,2,4,1,4,2,2
WSH,3.158536585365854,2.9146341463414633,0.5975609756097561,0.3170731707317073,0.08536585365853659,34,25,8,2,0,2,2,2,0,1,2,2,1,2
PIT,3.317073170731707,3.048780487804878,0.573170731707317,0.35365853658536583,0.07317073170731707,35,32,6,3,1,4,4,1,2,3,1,1,2,4
NSH,3.2560975609756095,2.573170731707317,0.6463414634146342,0.21951219512195122,0.13414634146341464,31,33,5,4,1,4,2,1,0,0,2,2,1,0
WPG,3.3780487804878048,2.658536585365854,0.6341463414634146,0.24390243902439024,0.12195121951219512,37,29,9,1,0,0,0,1,0,0,0,0,0,0
VGK,3.317073170731707,2.7804878048780486,0.6219512195121951,0.2926829268292683,0.08536585365853659,28,29,5,3,2,0,0,0,0,0,0,0,0,0
ANA,2.8658536585365852,2.6341463414634148,0.5365853658536586,0.3048780487804878,0.15853658536585366,33,21,8,1,1,3,1,3,2,1,0,1,0,2
NJD,3.024390243902439,2.975609756097561,0.5365853658536586,0.35365853658536583,0.10975609756097561,31,29,7,2,1,0,0,0,0,0,4,0,1,1
TOR,3.3780487804878048,2.8292682926829267,0.5975609756097561,0.3170731707317073,0.08536585365853659,34,28,6,4,0,1,0,0,0,1,0,0,0,0
CBJ,2.951219512195122,2.8048780487804876,0.5487804878048781,0.36585365853658536,0.08536585365853659,42,31,6,2,2,1,0,0,1,0,0,0,0,1
PHI,3.0609756097560976,2.9634146341463414,0.5121951219512195,0.3170731707317073,0.17073170731707318,39,31,6,1,3,0,1,0,1,0,2,2,4,1
COL,3.1341463414634148,2.8902439024390243,0.524390243902439,0.36585365853658536,0.10975609756097561,26,28,4,5,1,0,0,0,1,0,0,0,1,0
MIN,3.0853658536585367,2.8292682926829267,0.5487804878048781,0.3170731707317073,0.13414634146341464,29,26,4,2,4,1,1,2,2,1,0,0,0,0
LAK,2.9146341463414633,2.475609756097561,0.5487804878048781,0.35365853658536583,0.0975609756097561,32,22,6,2,2,0,1,0,4,3,4,1,1,0
SJS,3.073170731707317,2.792682926829268,0.5487804878048781,0.32926829268292684,0.12195121951219512,33,30,5,4,1,1,4,0,1,2,1,3,3,1
