,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
PHI,3.36231884057971,2.8405797101449277,0.5942028985507246,0.30434782608695654,0.10144927536231885,39,19,9,1,0,0,1,0,1,0,1,0,2,2
TBL,3.5,2.7857142857142856,0.6142857142857143,0.3,0.08571428571428572,30,36,3,6,1,1,3,0,3,4,1,0,0,3
WSH,3.4782608695652173,3.1159420289855073,0.5942028985507246,0.2898550724637681,0.11594202898550725,32,35,4,3,3,1,4,2,2,2,0,1,2,2
BOS,3.242857142857143,2.4857142857142858,0.6285714285714286,0.2,0.17142857142857143,28,28,7,3,0,4,2,1,0,0,2,4,1,4
VGK,3.1971830985915495,2.971830985915493,0.5492957746478874,0.3380281690140845,0.11267605633802817,35,26,8,2,0,1,4,0,0,0,0,0,0,0
COL,3.3857142857142857,2.7285714285714286,0.6,0.2857142857142857,0.11428571428571428,27,26,7,2,1,2,1,0,0,0,1,0,0,0
DAL,2.608695652173913,2.5652173913043477,0.5362318840579711,0.34782608695652173,0.11594202898550725,19,26,3,5,2,2,0,0,2,0,1,0,0,0
STL,3.1690140845070425,2.7183098591549295,0.5915492957746479,0.2676056338028169,0.14084507042253522,34,21,8,2,0,4,0,2,3,1,1,1,2,0
MTL,2.9859154929577465,3.112676056338028,0.43661971830985913,0.43661971830985913,0.1267605633802817,28,33,4,5,1,0,0,1,0,2,3,1,0,1
CBJ,2.5714285714285716,2.6714285714285713,0.4714285714285714,0.3142857142857143,0.21428571428571427,25,37,3,4,3,2,1,1,0,0,1,0,0,0
NYI,2.823529411764706,2.838235294117647,0.5147058823529411,0.3382352941176471,0.14705882352941177,25,34,2,4,4,2,0,0,2,1,0,1,0,0
CAR,3.264705882352941,2.838235294117647,0.5588235294117647,0.36764705882352944,0.07352941176470588,33,30,5,4,1,3,0,0,0,0,0,0,0,0
CHI,3.0285714285714285,3.1142857142857143,0.45714285714285713,0.42857142857142855,0.11428571428571428,33,24,6,4,0,0,0,1,1,4,3,4,1,1
ARI,2.7857142857142856,2.6714285714285713,0.4714285714285714,0.4142857142857143,0.11428571428571428,28,22,5,5,0,0,0,0,0,0,0,0,0,0
CGY,3.0,3.0714285714285716,0.5142857142857142,0.38571428571428573,0.1,36,29,6,3,1,1,0,1,0,2,0,0,0,0
VAN,3.3043478260869565,3.1449275362318843,0.5217391304347826,0.391304347826087,0.08695652173913043,37,37,4,5,1,0,0,0,0,1,0,1,1,4
