,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
NYR,2.7560975609756095,2.2804878048780486,0.6219512195121951,0.2926829268292683,0.08536585365853659,27,27,6,4,0,1,0,1,2,2,1,0,0,0
BOS,3.2804878048780486,2.4634146341463414,0.5975609756097561,0.35365853658536583,0.04878048780487805,33,24,7,2,1,4,2,2,1,0,0,0,1,1
FLA,2.475609756097561,2.768292682926829,0.4634146341463415,0.3170731707317073,0.21951219512195122,21,29,2,3,5,0,0,0,0,0,0,0,0,0
PIT,3.4390243902439024,2.6951219512195124,0.6219512195121951,0.3048780487804878,0.07317073170731707,43,37,6,4,0,1,2,4,4,1,0,0,0,0
VAN,3.0365853658536586,2.4146341463414633,0.6219512195121951,0.2682926829268293,0.10975609756097561,26,16,8,1,1,4,2,2,0,2,0,0,1,2
STL,2.5609756097560976,2.0121951219512195,0.5975609756097561,0.2682926829268293,0.13414634146341464,24,24,4,3,3,0,0,1,0,0,0,0,1,1
PHX,2.6341463414634148,2.4878048780487805,0.5121951219512195,0.32926829268292684,0.15853658536585366,28,18,7,1,2,1,1,0,0,0,0,0,0,0
NSH,2.8902439024390243,2.5609756097560976,0.5853658536585366,0.3170731707317073,0.0975609756097561,31,24,6,4,0,2,1,0,1,1,1,0,1,0
OTT,3.0365853658536586,2.926829268292683,0.5,0.3780487804878049,0.12195121951219512,29,30,4,6,0,0,1,0,1,4,2,0,1,3
WSH,2.707317073170732,2.8048780487804876,0.5121951219512195,0.3902439024390244,0.0975609756097561,29,25,6,2,2,2,1,2,1,0,0,0,0,1
NJD,2.7804878048780486,2.548780487804878,0.5853658536585366,0.34146341463414637,0.07317073170731707,30,22,7,2,1,0,1,1,1,2,2,0,1,4
PHI,3.2195121951219514,2.8292682926829267,0.573170731707317,0.3170731707317073,0.10975609756097561,33,28,5,4,1,2,4,1,3,0,1,0,3,2
LAK,2.3658536585365852,2.182926829268293,0.4878048780487805,0.32926829268292684,0.18292682926829268,27,21,5,2,3,1,1,0,0,0,0,0,0,0
SJS,2.7804878048780486,2.5609756097560976,0.524390243902439,0.35365853658536583,0.12195121951219512,31,24,7,3,0,3,3,1,2,2,2,0,3,0
CHI,3.024390243902439,2.902439024390244,0.5487804878048781,0.3170731707317073,0.13414634146341464,31,28,6,1,3,1,4,3,0,0,0,0,0,0
DET,3.024390243902439,2.475609756097561,0.5853658536585366,0.34146341463414637,0.07317073170731707,27,29,4,4,2,2,2,4,4,3,1,0,2,1
