,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
PHI,2.8902439024390243,2.182926829268293,0.5487804878048781,0.2682926829268293,0.036585365853658534,27,17,7,2,1,1,1,4,2,3,0,0,0,0
WSH,2.768292682926829,2.3658536585365852,0.5365853658536586,0.2926829268292683,0.024390243902439025,29,24,5,3,2,0,4,0,1,1,2,1,1,2
TOR,3.0,2.707317073170732,0.5487804878048781,0.32926829268292684,0.036585365853658534,26,30,5,5,0,3,0,0,1,1,3,3,0,0
NJD,3.0609756097560976,2.475609756097561,0.5487804878048781,0.2926829268292683,0.06097560975609756,32,29,5,5,0,1,1,2,0,4,3,1,1,1
STL,3.024390243902439,2.0121951219512195,0.6219512195121951,0.23170731707317074,0.012195121951219513,27,21,5,2,3,2,2,1,2,1,1,2,1,2
DAL,2.573170731707317,2.2439024390243905,0.524390243902439,0.2804878048780488,0.07317073170731707,29,24,4,2,4,4,3,1,0,1,2,0,0,0
COL,2.841463414634146,2.451219512195122,0.5121951219512195,0.34146341463414637,0.012195121951219513,29,20,8,2,0,3,1,3,4,0,0,0,0,0
DET,3.3902439024390243,2.5609756097560976,0.5853658536585366,0.2682926829268293,0.024390243902439025,39,25,5,3,2,2,4,4,3,4,1,1,2,1
BUF,2.597560975609756,2.4878048780487805,0.4268292682926829,0.3902439024390244,0.04878048780487805,31,13,7,1,2,4,3,2,0,1,1,2,1,1
PIT,2.9390243902439024,2.8780487804878048,0.45121951219512196,0.3780487804878049,0.07317073170731707,33,24,7,3,0,2,1,1,3,2,1,2,4,4
OTT,2.975609756097561,2.5609756097560976,0.5,0.34146341463414637,0.024390243902439025,29,26,5,5,0,1,2,1,0,0,0,0,0,0
FLA,2.975609756097561,2.548780487804878,0.524390243902439,0.32926829268292684,0.07317073170731707,32,24,6,2,2,0,0,1,4,0,0,0,0,0
SJS,2.7439024390243905,2.6097560975609757,0.4268292682926829,0.36585365853658536,0.08536585365853659,25,23,5,4,1,1,1,0,0,2,2,0,0,0
EDM,2.7560975609756095,2.5853658536585367,0.3902439024390244,0.3170731707317073,0.0975609756097561,27,25,5,5,0,1,2,2,0,0,0,0,3,3
PHX,2.8292682926829267,2.7804878048780486,0.47560975609756095,0.3780487804878049,0.04878048780487805,23,28,4,3,3,1,1,1,0,0,0,0,0,0
LAK,2.9878048780487805,2.7804878048780486,0.47560975609756095,0.32926829268292684,0.04878048780487805,25,22,5,2,3,0,1,0,0,0,0,4,1,2
