,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,3.8625,3.275,0.5125,0.3375,0.0,44,27,7,2,1,3,1,1,1,2,3,3,3,3
QUE,4.0375,3.4375,0.5125,0.375,0.0,30,26,6,4,0,2,1,3,1,0,0,0,0,0
PHI,4.35,3.0125,0.6625,0.25,0.0,41,21,9,1,0,1,1,1,2,4,2,3,2,3
WSH,4.025,3.0,0.575,0.3125,0.0,37,26,6,4,0,2,1,0,0,0,0,0,0,0
STL,3.7375,3.6,0.4625,0.3875,0.0,33,35,4,5,1,2,1,2,2,1,0,0,1,1
CHI,3.8625,3.7375,0.475,0.4375,0.0,39,32,5,3,2,1,3,3,1,2,1,1,1,1
EDM,5.0125,3.725,0.6125,0.25,0.0,53,49,4,4,2,4,4,1,2,1,0,0,0,0
WIN,4.475,4.15,0.5375,0.3375,0.0,47,33,7,0,3,1,1,1,0,0,0,0,0,0
BOS,3.7875,3.5875,0.45,0.425,0.0,37,38,4,4,2,1,3,2,1,2,2,3,3,2
BUF,3.625,2.9625,0.475,0.35,0.0,31,26,6,4,0,1,2,1,2,3,1,2,2,2
NYR,3.6875,4.3125,0.325,0.55,0.0,30,42,3,7,0,1,2,2,3,2,4,1,0,0
NYI,4.3125,3.9,0.5,0.425,0.0,31,40,3,6,1,4,4,4,4,4,2,1,3,3
MNS,3.35,4.0125,0.3125,0.5375,0.0,34,40,3,6,1,3,2,1,4,3,0,0,1,0
DET,3.9125,4.4625,0.3375,0.5125,0.0,44,39,5,4,1,1,0,0,0,0,0,2,0,0
LAK,4.2375,4.075,0.425,0.4,0.0,33,41,3,6,1,0,0,2,1,1,1,1,2,2
CGY,4.5375,3.775,0.5125,0.3375,0.0,41,32,5,1,4,2,2,1,3,0,0,0,0,0
