,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
NYR,3.5595238095238093,2.75,0.6190476190476191,0.2857142857142857,0.0,34,24,7,2,1,0,2,1,2,1,0,1,3,1
PIT,3.5595238095238093,3.392857142857143,0.5238095238095238,0.32142857142857145,0.0,32,32,6,4,0,2,4,4,0,2,0,0,0,0
NJD,3.642857142857143,2.619047619047619,0.5595238095238095,0.2976190476190476,0.0,36,24,5,4,1,1,1,1,1,0,3,0,0,0
BOS,3.4404761904761907,3.0,0.5,0.34523809523809523,0.0,35,33,5,4,1,1,3,3,4,2,4,1,1,1
DET,4.238095238095238,3.2738095238095237,0.5476190476190477,0.35714285714285715,0.0,42,28,4,4,2,1,2,1,0,1,3,3,0,1
CGY,3.5952380952380953,3.0476190476190474,0.5,0.34523809523809523,0.0,37,25,6,2,2,1,0,1,1,4,2,1,4,1
TOR,3.3333333333333335,2.892857142857143,0.5119047619047619,0.34523809523809523,0.0,38,33,4,6,0,3,0,0,1,0,1,2,2,0
DAL,3.4047619047619047,3.1547619047619047,0.5,0.34523809523809523,0.0,35,35,4,3,3,0,0,0,0,0,0,0,0,0
NYI,3.357142857142857,3.142857142857143,0.42857142857142855,0.42857142857142855,0.0,31,26,5,2,3,3,0,0,1,0,1,2,1,2
WSH,3.2976190476190474,3.130952380952381,0.4642857142857143,0.4166666666666667,0.0,40,37,5,4,1,1,1,2,3,1,2,1,2,1
BUF,3.357142857142857,2.5952380952380953,0.5119047619047619,0.38095238095238093,0.0,36,22,6,4,0,2,1,1,1,1,1,0,0,1
MTL,3.369047619047619,2.9523809523809526,0.4880952380952381,0.34523809523809523,0.0,26,36,3,6,1,4,2,2,2,4,2,3,4,2
SJS,3.0,3.1547619047619047,0.39285714285714285,0.4166666666666667,0.0,44,29,7,2,1,0,0,0,0,0,0,0,0,0
VAN,3.3214285714285716,3.2857142857142856,0.4880952380952381,0.47619047619047616,0.0,27,33,5,5,0,2,2,1,0,1,0,0,1,0
CHI,3.0238095238095237,2.857142857142857,0.4642857142857143,0.42857142857142855,0.0,30,34,4,5,1,1,4,1,3,3,1,1,1,3
STL,3.2142857142857144,3.369047619047619,0.47619047619047616,0.39285714285714285,0.0,34,33,4,4,2,2,1,2,2,2,2,1,3,1
