,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
FLA,4.146341463414634,3.0,0.7073170731707317,0.21951219512195122,0.07317073170731707,38,32,7,3,0,1,1,0,0,0,1,0,0,0
TOR,3.841463414634146,3.0853658536585367,0.6585365853658537,0.25609756097560976,0.08536585365853659,38,32,7,2,1,1,1,1,1,1,0,0,0,1
CAR,3.3902439024390243,2.4634146341463414,0.6585365853658537,0.24390243902439024,0.0975609756097561,40,29,8,2,0,2,2,3,0,0,0,0,0,0
NYR,3.097560975609756,2.524390243902439,0.6341463414634146,0.2926829268292683,0.07317073170731707,34,21,6,4,0,0,1,0,0,2,1,3,4,2
COL,3.8048780487804876,2.8536585365853657,0.6829268292682927,0.23170731707317074,0.08536585365853659,37,36,4,5,1,2,2,2,1,0,0,0,1,0
MIN,3.7804878048780486,3.0853658536585367,0.6463414634146342,0.2682926829268293,0.08536585365853659,42,30,8,1,1,1,1,0,1,1,1,2,2,1
CGY,3.573170731707317,2.5365853658536586,0.6097560975609756,0.25609756097560976,0.13414634146341464,40,30,6,2,2,0,2,1,0,1,0,2,0,0
EDM,3.5365853658536586,3.073170731707317,0.5975609756097561,0.32926829268292684,0.07317073170731707,36,24,7,2,1,1,1,0,0,2,0,0,0,0
WSH,3.3536585365853657,2.9878048780487805,0.5365853658536586,0.3170731707317073,0.14634146341463414,35,35,4,4,2,1,1,1,4,2,2,2,0,1
TBL,3.5,2.841463414634146,0.6219512195121951,0.2804878048780488,0.0975609756097561,48,29,7,3,0,4,4,1,3,0,3,4,1,0
BOS,3.1097560975609757,2.682926829268293,0.6219512195121951,0.3170731707317073,0.06097560975609756,28,25,6,4,0,2,2,4,2,1,0,0,2,4
PIT,3.317073170731707,2.792682926829268,0.5609756097560976,0.3048780487804878,0.13414634146341464,35,32,5,4,1,1,1,1,2,4,4,1,2,3
NSH,3.2439024390243905,3.073170731707317,0.5487804878048781,0.36585365853658536,0.08536585365853659,30,42,4,4,2,1,1,1,2,4,2,1,0,0
STL,3.792682926829268,2.951219512195122,0.5975609756097561,0.2682926829268293,0.13414634146341464,47,35,7,2,1,1,1,4,0,2,3,1,1,1
DAL,2.902439024390244,3.0,0.5609756097560976,0.36585365853658536,0.07317073170731707,24,29,5,3,2,0,4,2,0,0,2,0,1,0
LAK,2.9146341463414633,2.8780487804878048,0.5365853658536586,0.32926829268292684,0.13414634146341464,32,31,6,3,1,0,0,0,1,0,1,0,4,3
