,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
NJD,3.597560975609756,2.3780487804878048,0.5853658536585366,0.23170731707317074,0.036585365853658534,41,20,8,2,0,4,1,1,2,0,4,3,1,1
OTT,3.341463414634146,2.5,0.5853658536585366,0.25609756097560976,0.04878048780487805,37,26,7,1,2,1,1,2,1,0,0,0,0,0
WSH,2.841463414634146,2.573170731707317,0.5,0.32926829268292684,0.04878048780487805,28,27,4,4,2,1,0,4,0,1,1,2,1,1
PHI,2.926829268292683,2.524390243902439,0.524390243902439,0.3048780487804878,0.036585365853658534,22,24,4,4,2,3,1,1,4,2,3,0,0,0
COL,3.292682926829268,2.341463414634146,0.6341463414634146,0.1951219512195122,0.04878048780487805,26,22,6,3,1,3,3,1,3,4,0,0,0,0
DET,3.0853658536585367,2.4634146341463414,0.5975609756097561,0.24390243902439024,0.04878048780487805,35,20,7,3,0,2,2,4,4,3,4,1,1,2
DAL,2.9390243902439024,2.2804878048780486,0.5853658536585366,0.2926829268292683,0.024390243902439025,39,17,8,0,2,4,4,3,1,0,1,2,0,0
STL,3.0365853658536586,2.3780487804878048,0.524390243902439,0.2682926829268293,0.06097560975609756,23,24,3,4,3,1,2,2,1,2,1,1,2,1
CAR,2.5853658536585367,2.7439024390243905,0.4634146341463415,0.3902439024390244,0.036585365853658534,27,33,5,4,1,0,1,0,0,0,0,0,0,0
TOR,2.8292682926829267,2.524390243902439,0.45121951219512196,0.35365853658536583,0.06097560975609756,22,27,5,5,0,2,3,0,0,1,1,3,3,0
PIT,3.426829268292683,3.1219512195121952,0.5121951219512195,0.34146341463414637,0.036585365853658534,37,29,6,2,2,2,2,1,1,3,2,1,2,4
BUF,2.658536585365854,2.2439024390243905,0.5609756097560976,0.36585365853658536,0.012195121951219513,26,17,6,4,0,1,4,3,2,0,1,1,2,1
VAN,2.9146341463414633,2.902439024390244,0.43902439024390244,0.34146341463414637,0.08536585365853659,18,26,2,5,3,0,0,0,0,1,2,4,2,2
LAK,3.073170731707317,2.7804878048780486,0.4634146341463415,0.34146341463414637,0.036585365853658534,22,21,4,1,5,1,0,1,0,0,0,0,4,1
EDM,2.9634146341463414,2.707317073170732,0.47560975609756095,0.34146341463414637,0.036585365853658534,37,31,4,4,2,1,1,2,2,0,0,0,0,3
SJS,2.6463414634146343,2.341463414634146,0.4878048780487805,0.32926829268292684,0.036585365853658534,28,23,5,3,2,2,1,1,0,0,2,2,0,0
