,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
PHI,3.4390243902439024,2.5365853658536586,0.5487804878048781,0.2926829268292683,0.0,38,22,8,2,0,3,0,0,0,0,0,3,1,4
PIT,4.414634146341464,3.4634146341463414,0.5975609756097561,0.35365853658536583,0.0,36,34,6,4,0,2,1,2,4,4,0,2,0,0
NYR,3.317073170731707,2.8902439024390243,0.5,0.32926829268292684,0.0,23,28,4,6,0,2,4,0,2,1,2,1,0,1
FLA,3.097560975609756,2.8536585365853657,0.5,0.3780487804878049,0.0,21,22,3,6,1,0,0,0,0,0,0,0,0,0
DET,3.9634146341463414,2.207317073170732,0.7560975609756098,0.15853658536585366,0.0,43,21,7,1,2,4,1,1,2,1,0,1,3,3
COL,3.975609756097561,2.926829268292683,0.573170731707317,0.3048780487804878,0.0,40,33,6,4,0,0,0,0,0,0,0,0,0,0
CHI,3.3292682926829267,2.682926829268293,0.4878048780487805,0.34146341463414637,0.0,28,28,3,4,3,3,1,1,4,1,3,3,1,1
TOR,3.0121951219512195,3.073170731707317,0.4146341463414634,0.43902439024390244,0.0,35,30,6,4,0,1,3,3,0,0,1,0,1,2
TBL,2.902439024390244,3.024390243902439,0.4634146341463415,0.3902439024390244,0.0,25,25,5,4,1,0,0,0,0,0,0,0,0,0
WSH,2.8536585365853657,2.4878048780487805,0.47560975609756095,0.3902439024390244,0.0,33,17,6,3,1,1,2,1,1,2,3,1,2,1
MTL,3.231707317073171,3.024390243902439,0.4878048780487805,0.3902439024390244,0.0,28,28,4,4,2,0,1,4,2,2,2,4,2,3
BOS,3.4390243902439024,3.2804878048780486,0.4878048780487805,0.3780487804878049,0.0,36,30,6,2,2,1,2,1,3,3,4,2,4,1
WIN,3.3536585365853657,3.548780487804878,0.43902439024390244,0.4878048780487805,0.0,35,26,6,3,1,0,0,1,1,0,1,0,1,2
VAN,3.3902439024390243,3.3902439024390243,0.3902439024390244,0.4268292682926829,0.0,29,29,5,5,0,2,4,2,2,1,0,1,0,0
CGY,2.9390243902439024,2.926829268292683,0.4146341463414634,0.45121951219512196,0.0,26,30,4,6,0,1,1,1,0,1,1,4,2,1
STL,2.6707317073170733,3.024390243902439,0.3902439024390244,0.4146341463414634,0.0,25,40,1,5,4,1,1,2,1,2,2,2,2,1
