,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
QUE,3.851063829787234,2.8297872340425534,0.6170212765957447,0.2765957446808511,0.0,28,26,4,4,2,0,1,0,0,0,0,0,2,1
PHI,3.148936170212766,2.8085106382978724,0.574468085106383,0.3404255319148936,0.0,27,26,7,3,0,0,0,0,0,0,3,1,4,1
PIT,3.8260869565217392,3.1956521739130435,0.6304347826086957,0.30434782608695654,0.0,35,28,6,3,1,1,2,4,4,0,2,0,0,0
BOS,3.0652173913043477,2.630434782608696,0.5434782608695652,0.391304347826087,0.0,31,32,6,4,0,2,1,3,3,4,2,4,1,1
DET,3.765957446808511,2.4468085106382977,0.6808510638297872,0.23404255319148937,0.0,35,33,5,4,1,1,1,2,1,0,1,3,3,0
CGY,3.3617021276595747,2.8085106382978724,0.48936170212765956,0.3617021276595745,0.0,35,26,5,3,2,1,1,0,1,1,4,2,1,4
STL,3.717391304347826,2.8043478260869565,0.5869565217391305,0.30434782608695654,0.0,34,29,5,3,2,1,2,1,2,2,2,2,1,3
CHI,3.217391304347826,2.4347826086956523,0.4782608695652174,0.41304347826086957,0.0,22,21,3,5,2,1,1,4,1,3,3,1,1,1
NYR,2.893617021276596,2.765957446808511,0.46808510638297873,0.46808510638297873,0.0,38,31,7,3,0,4,0,2,1,2,1,0,1,3
BUF,2.6739130434782608,2.5,0.43478260869565216,0.41304347826086957,0.0,23,26,4,5,1,1,2,1,1,1,1,1,0,0
WSH,2.74468085106383,2.5106382978723403,0.44680851063829785,0.3829787234042553,0.0,33,28,5,4,1,2,1,1,2,3,1,2,1,2
NJD,2.8085106382978724,2.4680851063829787,0.46808510638297873,0.3617021276595745,0.0,27,22,5,4,1,3,1,1,1,1,0,3,0,0
DAL,2.872340425531915,2.8085106382978724,0.3617021276595745,0.46808510638297873,0.0,29,36,3,5,2,2,0,0,0,0,0,0,0,0
SJS,2.6739130434782608,3.4130434782608696,0.391304347826087,0.5434782608695652,0.0,25,27,4,5,1,2,0,0,0,0,0,0,0,0
VAN,3.1914893617021276,3.0851063829787235,0.3829787234042553,0.3829787234042553,0.0,32,30,4,4,2,4,2,2,1,0,1,0,0,1
TOR,2.782608695652174,2.9347826086956523,0.43478260869565216,0.391304347826087,0.0,27,29,5,4,1,3,3,0,0,1,0,1,2,2
