,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BUF,3.5121951219512195,2.9390243902439024,0.6097560975609756,0.2804878048780488,0.10975609756097561,34,30,6,3,1,0,0,0,0,0,0,0,0,0
TBL,3.5365853658536586,2.817073170731707,0.6097560975609756,0.3170731707317073,0.07317073170731707,26,30,5,5,0,1,1,1,4,4,4,1,3,0
CAR,3.6097560975609757,2.926829268292683,0.6463414634146342,0.2682926829268293,0.08536585365853659,39,27,7,2,1,3,2,3,2,2,2,3,0,0
PIT,3.573170731707317,3.268292682926829,0.5,0.3048780487804878,0.1951219512195122,46,40,5,5,0,0,0,0,1,1,1,1,2,4
COL,3.682926829268293,2.475609756097561,0.6707317073170732,0.1951219512195122,0.13414634146341464,34,20,7,2,1,1,2,1,4,2,2,2,1,0
DAL,3.402439024390244,2.7560975609756095,0.6097560975609756,0.24390243902439024,0.14634146341463414,34,28,7,2,1,3,3,3,1,0,4,2,0,0
VGK,3.231707317073171,3.048780487804878,0.47560975609756095,0.3170731707317073,0.2073170731707317,40,25,7,0,3,2,1,4,0,3,3,1,4,0
EDM,3.4390243902439024,3.2804878048780486,0.5,0.36585365853658536,0.13414634146341464,32,23,6,2,2,4,4,2,3,1,1,0,0,2
BOS,3.317073170731707,3.048780487804878,0.5487804878048781,0.32926829268292684,0.12195121951219512,32,26,5,3,2,0,2,1,1,2,2,4,2,1
MTL,3.451219512195122,3.1219512195121952,0.5853658536585366,0.2926829268292683,0.12195121951219512,28,24,7,3,0,1,0,0,0,4,2,0,0,1
OTT,3.3902439024390243,3.0,0.5365853658536586,0.32926829268292684,0.13414634146341464,36,26,6,3,1,1,0,0,0,0,0,0,0,3
PHI,3.048780487804878,2.9634146341463414,0.524390243902439,0.32926829268292684,0.14634146341463414,36,25,7,3,0,0,0,0,0,0,2,0,1,0
LAK,2.7439024390243905,3.0121951219512195,0.4268292682926829,0.32926829268292684,0.24390243902439024,32,31,6,2,2,1,1,1,1,0,0,0,1,0
MIN,3.317073170731707,2.926829268292683,0.5609756097560976,0.2926829268292683,0.14634146341463414,36,32,6,4,0,1,0,1,1,1,1,0,1,1
UTA,3.268292682926829,2.926829268292683,0.524390243902439,0.4024390243902439,0.07317073170731707,43,37,6,4,0,0,0,0,0,0,0,0,0,0
ANA,3.3292682926829267,3.5121951219512195,0.524390243902439,0.4024390243902439,0.07317073170731707,30,41,2,6,2,0,0,0,0,0,0,0,1,3
