,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
WSH,3.8780487804878048,2.841463414634146,0.6585365853658537,0.18292682926829268,0.15853658536585366,35,30,6,1,3,2,1,0,0,0,0,1,0,1
NJD,2.707317073170732,2.3292682926829267,0.5853658536585366,0.32926829268292684,0.08536585365853659,27,19,5,2,3,1,1,2,2,0,1,4,1,4
BUF,2.8658536585365852,2.524390243902439,0.5487804878048781,0.32926829268292684,0.12195121951219512,32,25,5,5,0,0,0,3,3,0,0,0,0,2
PIT,3.1341463414634148,2.8902439024390243,0.573170731707317,0.34146341463414637,0.08536585365853659,33,32,5,4,1,4,4,1,0,0,0,0,0,3
SJS,3.2195121951219514,2.6219512195121952,0.6219512195121951,0.24390243902439024,0.13414634146341464,32,23,8,1,1,1,2,2,2,0,3,0,2,1
CHI,3.3048780487804876,2.548780487804878,0.6341463414634146,0.2682926829268293,0.0975609756097561,35,30,6,3,1,3,0,0,0,0,0,0,1,0
VAN,3.317073170731707,2.707317073170732,0.5975609756097561,0.34146341463414637,0.06097560975609756,36,35,5,4,1,2,0,2,0,0,1,2,1,1
PHX,2.7439024390243905,2.4634146341463414,0.6097560975609756,0.3048780487804878,0.08536585365853659,27,25,5,3,2,0,0,0,0,0,0,0,1,0
MTL,2.6463414634146343,2.7195121951219514,0.47560975609756095,0.4024390243902439,0.12195121951219512,21,25,3,4,3,1,2,0,1,0,2,0,2,0
PHI,2.8780487804878048,2.7439024390243905,0.5,0.4268292682926829,0.07317073170731707,24,26,4,5,1,1,3,0,1,0,3,2,1,1
BOS,2.5121951219512195,2.4390243902439024,0.47560975609756095,0.36585365853658536,0.15853658536585366,26,19,6,3,1,2,1,0,0,0,1,1,1,0
OTT,2.7439024390243905,2.902439024390244,0.5365853658536586,0.3902439024390244,0.07317073170731707,31,26,7,2,1,0,1,4,2,0,1,3,2,1
COL,2.975609756097561,2.841463414634146,0.524390243902439,0.36585365853658536,0.10975609756097561,28,39,3,5,2,0,2,0,2,0,2,1,3,4
NSH,2.7439024390243905,2.7439024390243905,0.573170731707317,0.35365853658536583,0.07317073170731707,22,24,6,3,1,0,1,1,1,0,1,0,0,0
LAK,2.9390243902439024,2.6707317073170733,0.5609756097560976,0.32926829268292684,0.10975609756097561,27,27,4,3,3,0,0,0,0,0,0,0,1,2
DET,2.792682926829268,2.6341463414634148,0.5365853658536586,0.2926829268292683,0.17073170731707318,33,23,8,1,1,4,4,3,1,0,2,1,4,1
