,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
QUE,4.125,3.6125,0.5375,0.3875,0.0,43,35,6,3,1,3,2,1,3,1,0,0,0,0
MTL,4.125,3.5,0.5,0.4125,0.0,34,40,3,6,1,2,3,1,1,1,2,3,3,3
PHI,4.1875,3.0125,0.6625,0.2875,0.0,42,23,8,2,0,4,1,1,1,2,4,2,3,2
WSH,3.9375,3.4,0.625,0.2875,0.0,44,40,5,3,2,1,2,1,0,0,0,0,0,0
CHI,4.3875,4.3625,0.4875,0.4125,0.0,40,42,5,5,0,3,1,3,3,1,2,1,1,1
MNS,4.0875,3.8125,0.475,0.4125,0.0,42,37,6,4,0,2,3,2,1,4,3,0,0,1
EDM,5.325,3.875,0.7,0.2125,0.0,58,37,7,2,1,4,4,4,1,2,1,0,0,0
CGY,4.425,3.9375,0.5,0.3875,0.0,54,44,6,3,1,1,2,2,1,3,0,0,0,0
HFD,4.15,3.775,0.5,0.45,0.0,49,31,7,1,2,0,0,0,0,0,1,0,0,0
BOS,3.8875,3.6,0.4625,0.3875,0.0,36,32,4,2,4,1,1,3,2,1,2,2,3,3
NYR,3.5,3.45,0.45,0.475,0.0,37,41,3,6,1,1,1,2,2,3,2,4,1,0
NYI,4.0875,3.55,0.4875,0.3625,0.0,47,31,5,3,2,2,4,4,4,4,4,2,1,3
TOR,3.8875,4.825,0.3125,0.6,0.0,23,46,2,7,1,0,0,1,0,1,1,2,3,2
STL,3.775,3.6375,0.4625,0.425,0.0,26,30,4,5,1,1,2,1,2,2,1,0,0,1
VAN,3.525,4.1625,0.2875,0.55,0.0,44,44,5,4,1,0,1,1,4,1,1,1,0,0
WIN,3.6875,4.65,0.325,0.5875,0.0,45,44,4,5,1,2,1,1,1,0,0,0,0,0
