,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
MTL,3.1951219512195124,2.707317073170732,0.573170731707317,0.3048780487804878,0.12195121951219512,35,22,8,1,1,0,1,0,2,0,2,0,0,0
PIT,3.0121951219512195,2.6341463414634148,0.573170731707317,0.32926829268292684,0.0975609756097561,27,20,6,3,1,1,0,0,0,0,0,3,2,2
WSH,2.951219512195122,2.817073170731707,0.524390243902439,0.3780487804878049,0.0975609756097561,32,19,9,1,0,0,0,0,0,1,0,1,1,0
NJD,2.5121951219512195,2.402439024390244,0.5609756097560976,0.35365853658536583,0.08536585365853659,18,29,4,5,1,2,2,0,1,4,1,4,4,1
DET,3.1341463414634148,2.2439024390243905,0.6585365853658537,0.25609756097560976,0.08536585365853659,31,23,7,2,1,3,1,0,2,1,4,1,2,2
SJS,2.707317073170732,2.3536585365853657,0.5975609756097561,0.2804878048780488,0.12195121951219512,30,24,7,2,1,2,2,0,3,0,2,1,2,1
MIN,2.7195121951219514,2.658536585365854,0.5365853658536586,0.34146341463414637,0.12195121951219512,31,24,6,2,2,1,0,0,0,3,0,0,0,0
ANA,2.5,2.3292682926829267,0.573170731707317,0.32926829268292684,0.0975609756097561,27,18,8,2,0,4,3,0,0,4,0,0,0,1
BOS,2.5853658536585367,2.707317073170732,0.5,0.35365853658536583,0.14634146341463414,24,22,4,2,4,0,0,0,1,1,1,0,0,2
OTT,3.182926829268293,3.0121951219512195,0.524390243902439,0.3780487804878049,0.0975609756097561,31,37,3,6,1,4,2,0,1,3,2,1,1,1
PHI,3.024390243902439,2.841463414634146,0.5121951219512195,0.35365853658536583,0.13414634146341464,29,26,7,2,1,0,1,0,3,2,1,1,3,1
NYR,2.597560975609756,2.426829268292683,0.5121951219512195,0.32926829268292684,0.15853658536585366,25,22,5,1,4,2,1,0,0,0,0,0,0,0
NSH,2.8048780487804876,2.792682926829268,0.5,0.3902439024390244,0.10975609756097561,23,21,6,3,1,1,1,0,1,0,0,0,0,0
CGY,2.792682926829268,2.768292682926829,0.5121951219512195,0.36585365853658536,0.12195121951219512,24,26,5,5,0,1,1,0,4,0,0,0,0,0
COL,2.817073170731707,2.6707317073170733,0.5365853658536586,0.3780487804878049,0.08536585365853659,32,31,5,4,1,0,2,0,2,1,3,4,3,3
DAL,2.951219512195122,2.524390243902439,0.5487804878048781,0.36585365853658536,0.08536585365853659,30,31,3,5,2,1,1,0,1,2,0,2,4,4
