,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,3.6962025316455698,3.3037974683544302,0.5443037974683544,0.3037974683544304,0.0,34,27,5,2,3,4,2,4,1,1,1,1,3,2
MTL,3.4430379746835444,3.1012658227848102,0.4936708860759494,0.3670886075949367,0.0,34,32,4,3,3,2,4,2,3,4,2,3,1,1
PIT,4.291139240506329,3.7848101265822787,0.5189873417721519,0.4050632911392405,0.0,46,37,6,2,2,0,2,0,0,0,0,0,0,1
NYR,3.6835443037974684,3.3164556962025316,0.4430379746835443,0.3924050632911392,0.0,30,46,1,8,1,2,1,0,1,3,1,1,2,2
CHI,3.5316455696202533,2.6582278481012658,0.6075949367088608,0.2911392405063291,0.0,42,29,7,1,2,3,3,1,1,1,3,1,3,3
STL,3.8987341772151898,3.151898734177215,0.5822784810126582,0.27848101265822783,0.0,31,25,6,3,1,2,2,2,1,3,1,2,1,2
LAK,4.265822784810126,3.151898734177215,0.5822784810126582,0.2911392405063291,0.0,45,34,6,2,2,2,2,1,1,0,1,0,0,2
CGY,4.291139240506329,3.2911392405063293,0.569620253164557,0.3291139240506329,0.0,42,41,5,4,1,1,4,2,1,4,1,2,2,1
HFD,2.9746835443037973,3.4050632911392404,0.3924050632911392,0.46835443037974683,0.0,29,34,3,5,2,1,1,1,1,2,0,0,0,0
BUF,3.632911392405063,3.4936708860759493,0.379746835443038,0.379746835443038,0.0,43,35,5,3,2,1,1,1,0,0,1,1,2,1
NJD,3.4177215189873418,3.3037974683544302,0.4050632911392405,0.4050632911392405,0.0,30,33,4,3,3,1,0,3,0,0,0,0,0,0
WSH,3.240506329113924,3.2025316455696204,0.46835443037974683,0.4430379746835443,0.0,35,18,6,3,1,3,1,2,1,2,1,2,1,0
MNS,3.2278481012658227,3.3417721518987342,0.34177215189873417,0.4810126582278481,0.0,37,34,4,5,1,1,1,0,0,1,2,3,2,1
DET,3.4430379746835444,3.7088607594936707,0.43037974683544306,0.46835443037974683,0.0,31,34,5,5,0,0,1,3,3,0,1,1,0,0
VAN,3.0375,3.9375,0.35,0.5375,0.0,35,38,4,4,2,0,1,0,0,1,0,1,1,4
EDM,3.367088607594937,3.4050632911392404,0.45569620253164556,0.46835443037974683,0.0,32,36,4,5,1,4,1,4,4,2,4,4,4,1
