,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
NJD,2.817073170731707,2.2195121951219514,0.5487804878048781,0.2804878048780488,0.0,28,17,6,3,1,0,4,3,1,1,1,1,0,3
BUF,2.8902439024390243,2.5365853658536586,0.4878048780487805,0.36585365853658536,0.0,21,26,2,7,1,0,1,1,2,1,1,1,1,1
PHI,3.341463414634146,2.6463414634146343,0.5487804878048781,0.2926829268292683,0.0,29,27,5,3,2,2,3,0,0,0,0,0,3,1
FLA,2.6951219512195124,2.451219512195122,0.4268292682926829,0.34146341463414637,0.0,25,26,3,4,3,4,0,0,0,0,0,0,0,0
COL,3.3780487804878048,2.5,0.5975609756097561,0.2926829268292683,0.0,29,29,4,6,0,4,0,0,0,0,0,0,0,0
DAL,3.073170731707317,2.4146341463414633,0.5853658536585366,0.3170731707317073,0.0,28,25,5,3,2,0,1,2,0,0,0,0,0,0
DET,3.0853658536585367,2.402439024390244,0.4634146341463415,0.3170731707317073,0.0,24,23,4,3,3,3,4,1,1,2,1,0,1,3
ANA,2.9878048780487805,2.841463414634146,0.43902439024390244,0.4024390243902439,0.0,33,26,6,2,2,0,0,0,0,0,0,0,0,0
MTL,3.0365853658536586,3.3658536585365852,0.3780487804878049,0.43902439024390244,0.0,29,27,5,4,1,1,0,1,4,2,2,2,4,2
OTT,2.7560975609756095,2.8536585365853657,0.3780487804878049,0.43902439024390244,0.0,26,22,7,3,0,0,0,0,0,0,0,0,0,0
PIT,3.475609756097561,3.4146341463414633,0.4634146341463415,0.43902439024390244,0.0,34,38,4,5,1,3,2,1,2,4,4,0,2,0
NYR,3.1463414634146343,2.817073170731707,0.4634146341463415,0.4146341463414634,0.0,25,26,5,4,1,2,2,4,0,2,1,2,1,0
CHI,2.7195121951219514,2.5609756097560976,0.4146341463414634,0.4268292682926829,0.0,35,26,6,3,1,2,3,1,1,4,1,3,3,1
EDM,3.073170731707317,3.0121951219512195,0.43902439024390244,0.45121951219512196,0.0,28,31,3,5,2,0,0,0,0,3,3,4,1,4
STL,2.8780487804878048,2.9146341463414633,0.43902439024390244,0.4268292682926829,0.0,23,20,5,3,2,2,1,1,2,1,2,2,2,2
PHX,2.926829268292683,2.9634146341463414,0.4634146341463415,0.45121951219512196,0.0,34,23,5,3,2,0,0,0,0,0,0,0,0,0
