,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
BOS,3.9523809523809526,3.1904761904761907,0.6071428571428571,0.30952380952380953,0.0,40,16,9,1,0,3,3,4,2,4,1,1,1,1
QUE,4.178571428571429,3.5714285714285716,0.5595238095238095,0.32142857142857145,0.0,42,33,7,3,0,0,0,0,0,0,2,1,3,2
PIT,4.369047619047619,3.1904761904761907,0.6666666666666666,0.25,0.0,59,30,9,0,1,4,4,0,2,0,0,0,0,0
WSH,3.869047619047619,3.4047619047619047,0.5119047619047619,0.40476190476190477,0.0,26,25,5,5,0,1,2,3,1,2,1,2,1,2
CHI,3.3214285714285716,2.738095238095238,0.5595238095238095,0.2976190476190476,0.0,31,22,7,1,2,4,1,3,3,1,1,1,3,1
DET,4.392857142857143,3.3333333333333335,0.5595238095238095,0.3333333333333333,0.0,55,31,9,1,0,2,1,0,1,3,3,0,1,1
VAN,4.119047619047619,3.3095238095238093,0.5476190476190477,0.34523809523809523,0.0,43,39,7,3,0,2,1,0,1,0,0,1,0,1
CGY,3.8333333333333335,3.357142857142857,0.5119047619047619,0.35714285714285715,0.0,41,32,6,3,1,0,1,1,4,2,1,4,1,2
BUF,3.988095238095238,3.5357142857142856,0.4523809523809524,0.42857142857142855,0.0,24,35,2,8,0,1,1,1,1,1,0,0,1,1
MTL,3.880952380952381,3.3333333333333335,0.5714285714285714,0.35714285714285715,0.0,24,36,4,6,0,2,2,2,4,2,3,4,2,3
NJD,3.6666666666666665,3.5595238095238093,0.47619047619047616,0.44047619047619047,0.0,38,37,4,5,1,1,1,1,0,3,0,0,0,0
NYI,3.988095238095238,3.5357142857142856,0.47619047619047616,0.44047619047619047,0.0,35,32,5,4,1,0,0,1,0,1,2,1,2,4
STL,3.357142857142857,3.3095238095238093,0.44047619047619047,0.42857142857142855,0.0,33,34,3,5,2,1,2,2,2,2,1,3,1,2
TOR,3.4285714285714284,2.869047619047619,0.5238095238095238,0.34523809523809523,0.0,27,26,5,4,1,0,0,1,0,1,2,2,0,0
WIN,3.8333333333333335,3.8095238095238093,0.47619047619047616,0.44047619047619047,0.0,47,35,7,2,1,1,0,1,0,1,2,1,2,1
LAK,4.023809523809524,4.0476190476190474,0.4642857142857143,0.4166666666666667,0.0,38,36,4,3,3,1,2,2,2,1,1,0,1,0
