,goalsFor,goalsAgainst,wins,losses,otLosses,l10goalsFor,l10goalsAgainst,l10Wins,l10Losses,l10OTLosses,ranking-1,ranking-2,ranking-3,ranking-4,ranking-5,ranking-6,ranking-7,ranking-8,ranking-9
FLA,3.268292682926829,2.4390243902439024,0.6341463414634146,0.2926829268292683,0.07317073170731707,34,23,6,3,1,4,2,1,1,0,0,0,1,0
BOS,3.2560975609756095,2.731707317073171,0.573170731707317,0.24390243902439024,0.18292682926829268,26,24,6,4,0,1,1,2,2,4,2,1,0,0
NYR,3.4390243902439024,2.792682926829268,0.6707317073170732,0.2804878048780488,0.04878048780487805,36,30,7,3,0,1,3,0,1,0,0,2,1,3
CAR,3.402439024390244,2.6341463414634148,0.6341463414634146,0.2804878048780488,0.08536585365853659,32,21,7,3,0,3,2,2,2,3,0,0,0,0
DAL,3.6341463414634148,2.8536585365853657,0.6341463414634146,0.25609756097560976,0.10975609756097561,34,18,8,2,0,3,1,0,4,2,0,0,2,0
WPG,3.158536585365854,2.426829268292683,0.6341463414634146,0.2926829268292683,0.07317073170731707,38,22,8,2,0,1,0,2,1,1,3,0,0,1
VAN,3.402439024390244,2.7195121951219514,0.6097560975609756,0.2804878048780488,0.10975609756097561,28,31,5,4,1,0,0,0,3,0,0,0,0,1
EDM,3.5853658536585367,2.8902439024390243,0.5975609756097561,0.32926829268292684,0.07317073170731707,32,31,4,4,2,2,3,1,1,0,0,2,0,0
TBL,3.548780487804878,3.268292682926829,0.5487804878048781,0.35365853658536583,0.0975609756097561,38,32,5,4,1,1,4,4,4,1,3,0,3,4
TOR,3.6951219512195124,3.207317073170732,0.5609756097560976,0.3170731707317073,0.12195121951219512,37,36,5,4,1,2,1,1,1,1,1,1,0,0
WSH,2.682926829268293,3.1341463414634148,0.4878048780487805,0.3780487804878049,0.13414634146341464,21,28,4,4,2,0,1,1,1,1,4,2,2,2
NYI,3.0,3.207317073170732,0.47560975609756095,0.32926829268292684,0.1951219512195122,31,22,8,1,1,1,0,3,4,2,0,0,2,1
VGK,3.2560975609756095,2.9878048780487805,0.5487804878048781,0.35365853658536583,0.0975609756097561,35,31,6,4,0,4,0,3,3,1,4,0,0,0
COL,3.707317073170732,3.097560975609756,0.6097560975609756,0.3048780487804878,0.08536585365853659,34,40,4,4,2,1,4,2,2,2,1,0,0,0
NSH,3.2804878048780486,3.024390243902439,0.573170731707317,0.36585365853658536,0.06097560975609756,33,38,4,5,1,0,1,1,1,1,2,4,2,1
LAK,3.1219512195121952,2.6219512195121952,0.5365853658536586,0.32926829268292684,0.13414634146341464,32,26,6,4,0,1,1,0,0,0,1,0,1,0
